docket_nums|citations|opinions|syllabuses|summaries
|423 u.s. 1335|"Pasadena City Board of Education v. Spangler
No. A-538
Decided December 22, 1975
423 U.S. 1335

Syllabus 
Application to stay, pending disposition of appeal by Court of Appeals, the District Court's order enjoining applicant school board members' creation of a ""fundamental school"" is granted, where certiorari has been granted in applicants' related petition presenting the issue whether the District Court still had control over the unitary school system which has been in compliance with that court's desegregation decree for four years.

Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"Pasadena City Board of Education v. Spangler
No. A-538
Decided December 22, 1975
423 U.S. 1335

Syllabus 
Application to stay, pending disposition of appeal by Court of Appeals, the District Court's order enjoining applicant school board members' creation of a ""fundamental school"" is granted, where certiorari has been granted in applicants' related petition presenting the issue whether the District Court still had control over the unitary school system which has been in compliance with that court's desegregation decree for four years."|
|423 u.s. 150|"American Foreign Steamship Co. v. Matise
No. 74-966
Argued October 14, 1975
Decided December 16, 1975
423 U.S. 150

Syllabus 
Respondent's decedent, a seaman, was discharged for misconduct from petitioner's ship while it was docked in South Vietnam.  Because of South Vietnamese currency regulations and other complications precluding paying the seaman in American currency the wages due him that he had earned prior to his discharge, petitioner purchased for him an airline ticket to the United States for $510, and this ticket, together with a wage voucher for $118.5, representing wages due less the $510, were given to him.  When the seaman arrived back in the United States, he received the $118.45.  Subsequently he sued petitioner, claiming that it had withheld $510 in wages from him.  He contended that petitioner was liable to him for the $510, and for an added sum pursuant to 46 U.S.C.  596, which requires the master or owner of a vessel making foreign voyages to pay a discharged seaman his wages within four days after the discharge, and, upon refusal or neglect to make such payment ""without sufficient cause,"" to pay the seaman a sum equal to two days' pay for every day during which payment is delayed.  Finding that the seaman had consented to the purchase of the airline ticket for his purposes with his money and that such purchase therefore constituted a partial payment of wages, the District Court held that petitioner had not refused or neglected to pay, and hence was not liable under  596.  The Court of Appeals reversed, holding that  596 requires that wage payments be made directly to the seaman, and that therefore the $510 paid to the airline could not be regarded as a partial payment of wages.  On remand, the District Court assessed damages pursuant to  596, and the Court of Appeals dismissed an appeal from this assessment.
Held:  Under the circumstances, the transaction resulting in the seaman's receipt of an airline ticket purchased with money owed to him as wages constituted a payment of wages, and therefore there was no refusal or neglect to make payment, and hence no liability, under  596.  Isbrandtsen Co. v. Johnson, 343 U. S. 779, distinguished.  Since the transaction was a partial payment of wages and not a ""deduction 
Page 423 U. S. 151
 from"" wages, the requirement of 46 U.S.C.  642 that a ship's master enter wage deductions in the logbook does not apply, and thus the master's failure to make a logbook entry that the $510 had been paid does not bar viewing the transaction as a partial payment of wages.  Pp.  423 U. S. 156-160.
Reversed and remanded; see 488 F.2d 469.
MARSHALL, J., delivered the opinion for a unanimous Court.

Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"American Foreign Steamship Co. v. Matise
No. 74-966
Argued October 14, 1975
Decided December 16, 1975
423 U.S. 150

Syllabus 
Respondent's decedent, a seaman, was discharged for misconduct from petitioner's ship while it was docked in South Vietnam.  Because of South Vietnamese currency regulations and other complications precluding paying the seaman in American currency the wages due him that he had earned prior to his discharge, petitioner purchased for him an airline ticket to the United States for $510, and this ticket, together with a wage voucher for $118.5, representing wages due less the $510, were given to him.  When the seaman arrived back in the United States, he received the $118.45.  Subsequently he sued petitioner, claiming that it had withheld $510 in wages from him.  He contended that petitioner was liable to him for the $510, and for an added sum pursuant to 46 U.S.C.  596, which requires the master or owner of a vessel making foreign voyages to pay a discharged seaman his wages within four days after the discharge, and, upon refusal or neglect to make such payment ""without sufficient cause,"" to pay the seaman a sum equal to two days' pay for every day during which payment is delayed.  Finding that the seaman had consented to the purchase of the airline ticket for his purposes with his money and that such purchase therefore constituted a partial payment of wages, the District Court held that petitioner had not refused or neglected to pay, and hence was not liable under  596.  The Court of Appeals reversed, holding that  596 requires that wage payments be made directly to the seaman, and that therefore the $510 paid to the airline could not be regarded as a partial payment of wages.  On remand, the District Court assessed damages pursuant to  596, and the Court of Appeals dismissed an appeal from this assessment.
Held:  Under the circumstances, the transaction resulting in the seaman's receipt of an airline ticket purchased with money owed to him as wages constituted a payment of wages, and therefore there was no refusal or neglect to make payment, and hence no liability, under  596.  Isbrandtsen Co. v. Johnson, 343 U. S. 779, distinguished.  Since the transaction was a partial payment of wages and not a ""deduction 
Page 423 U. S. 151
 from"" wages, the requirement of 46 U.S.C.  642 that a ship's master enter wage deductions in the logbook does not apply, and thus the master's failure to make a logbook entry that the $510 had been paid does not bar viewing the transaction as a partial payment of wages.  Pp.  423 U. S. 156-160.
Reversed and remanded; see 488 F.2d 469.
MARSHALL, J., delivered the opinion for a unanimous Court."|
|423 u.s. 1038|" 423 U.S. 1038 
 UNITED STATES DISTRICT COURT for the DISTRICT OF NEW JERSEYv. Arthur Lawrence ABRAMS.No. 75-487. 
 Supreme Court of the United States 
 December 15, 1975
 On petition for writ of certiorari to the United States Court of Appeals for the Third Circuit. 
 
 The petition for a writ of certiorari is denied. 

 Mr. Chief Justice BURGER, with whom Mr. Justice POWELL joins, dissenting. 
 The Court of Appeals has advanced the novel doctrine that when the federal court acts on a record made in state disciplinary proceedings the federal court's power to discipline a member of its bar in circumscribed by the scope of the penalty imposed by the state courts. It has always seemed clear to me that the federal courts have plenary power over the admission, disbarment, or discipline of attorneys who practice before them. See Cheatham, The Reach of Federal Action Over the Profession of Law, 18 Stan.L.Rev. 1288, 1291-1292 (1966). The federal courts are not bound by the standards of professional conduct prescribed or enforced by the States any more than States are bound by federal action. A federal court may well determine that conduct found tolerable by another jurisdiction merits disbarment in federal court, as our actions disciplining members of this Court's bar implicitly demonstrate. See, e. g., In re Disbarment of Osborne, 420 U.S. 918 (1975); In re Disbarment of Buttles, 419 U.S. 1101 (1975); In re Disbarment of Mades, 414 U.S. 1154 ( 1974). A federal court must apply state law in diversity cases, but there is not the slightest reason to do so in judging the conduct of members of its own bar. 
 I do not share the view that this is a subject not warranting the time for full briefing and argument here. Granting that the burdens of our calendar do not permit full review of all we might desire, the issue here seems so 
Page 423 U.S. 1038 , 1039
 clear that we could appropriately grant the writ and reverse the judgment summarily. 


Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|" 423 U.S. 1038 
 UNITED STATES DISTRICT COURT for the DISTRICT OF NEW JERSEYv. Arthur Lawrence ABRAMS.No. 75-487. 
 Supreme Court of the United States 
 December 15, 1975
 On petition for writ of certiorari to the United States Court of Appeals for the Third Circuit. 
 
 The petition for a writ of certiorari is denied. 

 Mr. Chief Justice BURGER, with whom Mr. Justice POWELL joins, dissenting. 
 The Court of Appeals has advanced the novel doctrine that when the federal court acts on a record made in state disciplinary proceedings the federal court's power to discipline a member of its bar in circumscribed by the scope of the penalty imposed by the state courts. It has always seemed clear to me that the federal courts have plenary power over the admission, disbarment, or discipline of attorneys who practice before them. See Cheatham, The Reach of Federal Action Over the Profession of Law, 18 Stan.L.Rev. 1288, 1291-1292 (1966). The federal courts are not bound by the standards of professional conduct prescribed or enforced by the States any more than States are bound by federal action. A federal court may well determine that conduct found tolerable by another jurisdiction merits disbarment in federal court, as our actions disciplining members of this Court's bar implicitly demonstrate. See, e. g., In re Disbarment of Osborne, 420 U.S. 918 (1975); In re Disbarment of Buttles, 419 U.S. 1101 (1975); In re Disbarment of Mades, 414 U.S. 1154 ( 1974). A federal court must apply state law in diversity cases, but there is not the slightest reason to do so in judging the conduct of members of its own bar. 
 I do not share the view that this is a subject not warranting the time for full briefing and argument here. Granting that the burdens of our calendar do not permit full review of all we might desire, the issue here seems so 
Page 423 U.S. 1038 , 1039
 clear that we could appropriately grant the writ and reverse the judgment summarily. 
"|
|423 u.s. 1027|" 423 U.S. 1027 
 NEBRASKA PRESS ASSOCIATION et al., petitioners,v. Hugh STUART, Judge, District Court of Lincoln County, Nebraska, et al.No. 75-817. 
 Supreme Court of the United States 
 December 12, 1975
 Motion of Nebraska Press Association et al. for leave to treat their application as a petition for writ of certiorari having been heretofore granted, it is ordered: 
 1. Petition for writ of certiorari to the Supreme Court of Nebraska granted; 
 2. Motion to expedite denied. Mr. Justice BRENNAN, Mr. Justice STEWART, and Mr. Justice MARSHALL would grant motion. 
 3. Application for stay denied. Mr. Justice BRENNAN, Mr. Justice STEWART, and Mr. Justice MARSHALL would grant application. Mr. Justice WHITE would stay judgment of the Nebraska Supreme Court to the extent that its order forbade the publication of information disclosed in public at the preliminary hearing in the criminal case out of which this case arose. In this respect, he is in disagreement with the Court's actions in this case today. He joins the Court in granting the petition for writ of certiorari and in ordering plenary consideration of this case, which as he understands it raises issues broader than the power of the State to enjoin the publication of facts disclosed at a public hearing in a State court. Being convinced that these questions should be decided only after adequate briefing and argument and ample time for mature consideration, he is in agreement that we should not attempt to hear and decide this case prior to the beginning of the criminal trial in early January. 
 4. Petitioners Nebraska Press Association et al., are invited to file an amended petition for certiorari on or before December 30, 1975. Responses may be made in accord with the Court's Rules.[ Nebraska Press Association v. Stuart 423 U.S. 1027 (1975) ] 


Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|" 423 U.S. 1027 
 NEBRASKA PRESS ASSOCIATION et al., petitioners,v. Hugh STUART, Judge, District Court of Lincoln County, Nebraska, et al.No. 75-817. 
 Supreme Court of the United States 
 December 12, 1975
 Motion of Nebraska Press Association et al. for leave to treat their application as a petition for writ of certiorari having been heretofore granted, it is ordered: 
 1. Petition for writ of certiorari to the Supreme Court of Nebraska granted; 
 2. Motion to expedite denied. Mr. Justice BRENNAN, Mr. Justice STEWART, and Mr. Justice MARSHALL would grant motion. 
 3. Application for stay denied. Mr. Justice BRENNAN, Mr. Justice STEWART, and Mr. Justice MARSHALL would grant application. Mr. Justice WHITE would stay judgment of the Nebraska Supreme Court to the extent that its order forbade the publication of information disclosed in public at the preliminary hearing in the criminal case out of which this case arose. In this respect, he is in disagreement with the Court's actions in this case today. He joins the Court in granting the petition for writ of certiorari and in ordering plenary consideration of this case, which as he understands it raises issues broader than the power of the State to enjoin the publication of facts disclosed at a public hearing in a State court. Being convinced that these questions should be decided only after adequate briefing and argument and ample time for mature consideration, he is in agreement that we should not attempt to hear and decide this case prior to the beginning of the criminal trial in early January. 
 4. Petitioners Nebraska Press Association et al., are invited to file an amended petition for certiorari on or before December 30, 1975. Responses may be made in accord with the Court's Rules.[ Nebraska Press Association v. Stuart 423 U.S. 1027 (1975) ] 
"|
|423 u.s. 147|"Weinstein v. Bradford
No. 74-1287
Decided December 10, 1975
423 U.S. 147

Syllabus 
Where respondent was paroled after the Court of Appeals upheld his claim in his action against petitioner parole board members that he was constitutionally entitled to certain procedural rights in connection with petitioners' consideration of his eligibility for parole, the case is moot, and does not present an issue ""capable of repetition, yet evading review,"" since the action is not a class action and there is no demonstrated probability that respondent will again be subjected to the parole system.  Super Tire Engineering Co. v. McCorkle, 416 U. S. 115, distinguished.
519 F.2d 728, vacated and remanded.

Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"Weinstein v. Bradford
No. 74-1287
Decided December 10, 1975
423 U.S. 147

Syllabus 
Where respondent was paroled after the Court of Appeals upheld his claim in his action against petitioner parole board members that he was constitutionally entitled to certain procedural rights in connection with petitioners' consideration of his eligibility for parole, the case is moot, and does not present an issue ""capable of repetition, yet evading review,"" since the action is not a class action and there is no demonstrated probability that respondent will again be subjected to the parole system.  Super Tire Engineering Co. v. McCorkle, 416 U. S. 115, distinguished.
519 F.2d 728, vacated and remanded."|
|423 u.s. 96|"Michigan v. Moseley
No. 74-653
Argued October 6, 1975
Decided December 9, 1975
423 U.S. 96

Syllabus 
Respondent, who had been arrested in connection with certain robberies and advised by a detective in accordance with Miranda v. Arizona, 384 U. S. 436, that he was not obliged to answer any questions and that he could remain silent if he wished, and having made oral and written acknowledgment of the Miranda warnings, declined to discuss the robberies, whereupon the detective ceased the interrogation.  More than two hours later, after giving Miranda warnings, another detective questioned respondent solely about an unrelated murder.  Respondent made an inculpatory statement, which was later used in his trial for murder, which resulted in his conviction.   The appellate court reversed on the ground that Miranda mandated a cessation of all interrogation after respondent had declined to answer the first detective's questions.
Held:  The admission in evidence of respondent's incriminating statement did not violate Miranda principles.  Respondent's right to cut off questioning was scrupulously honored, the police having immediately ceased the robbery interrogation after respondent's refusal to answer and having commenced questioning about the murder only after a significant time lapse and after a fresh set of warnings had been given respondent.  Westover v. United States, 384 U. S. 436, distinguished.  Pp.  423 U. S. 99-107.
51 Mich.App. 105, 214 N.W.2d 564, vacated and remanded.
STEWART, J., delivered the opinion of the Court, in which BURGER, C.J., and BLACKMUN, POWELL, and REHNQUIST, JJ., joined.  WHITE, J., filed an opinion concurring in the result, post, p.  423 U. S. 107.  BRENNAN, J., filed a dissenting opinion, in which MARSHALL, J., joined, post, p.  423 U. S. 111. 
Page 423 U. S. 97


Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"Michigan v. Moseley
No. 74-653
Argued October 6, 1975
Decided December 9, 1975
423 U.S. 96

Syllabus 
Respondent, who had been arrested in connection with certain robberies and advised by a detective in accordance with Miranda v. Arizona, 384 U. S. 436, that he was not obliged to answer any questions and that he could remain silent if he wished, and having made oral and written acknowledgment of the Miranda warnings, declined to discuss the robberies, whereupon the detective ceased the interrogation.  More than two hours later, after giving Miranda warnings, another detective questioned respondent solely about an unrelated murder.  Respondent made an inculpatory statement, which was later used in his trial for murder, which resulted in his conviction.   The appellate court reversed on the ground that Miranda mandated a cessation of all interrogation after respondent had declined to answer the first detective's questions.
Held:  The admission in evidence of respondent's incriminating statement did not violate Miranda principles.  Respondent's right to cut off questioning was scrupulously honored, the police having immediately ceased the robbery interrogation after respondent's refusal to answer and having commenced questioning about the murder only after a significant time lapse and after a fresh set of warnings had been given respondent.  Westover v. United States, 384 U. S. 436, distinguished.  Pp.  423 U. S. 99-107.
51 Mich.App. 105, 214 N.W.2d 564, vacated and remanded.
STEWART, J., delivered the opinion of the Court, in which BURGER, C.J., and BLACKMUN, POWELL, and REHNQUIST, JJ., joined.  WHITE, J., filed an opinion concurring in the result, post, p.  423 U. S. 107.  BRENNAN, J., filed a dissenting opinion, in which MARSHALL, J., joined, post, p.  423 U. S. 111. 
Page 423 U. S. 97
"|
|423 u.s. 122|"United States v. Moore
No. 74-759
Argued October 7, 1975
Decided December 9, 1975
423 U.S. 122

Syllabus 
Respondent, a licensed physician registered under the Controlled Substances Act (CSA), 21 U.S.C.  801 et seq., was convicted of knowing and unlawful distribution and dispensation of methadone (a controlled substance or addictive drug used in the treatment of heroin addicts) in violation of 21 U.S.C.  841(a)(1), which makes it unlawful for ""any person"" knowingly or intentionally to distribute or dispense a controlled substance, except as authorized by the CSA.  The evidence disclosed that respondent prescribed large quantities of methadone for patients without giving them adequate physical examinations or specific instructions for its use and charged fees according to the quantity of methadone prescribed, rather than fees for medical services rendered.  The Court of Appeals, however, reversed the conviction on the grounds that respondent was exempted from prosecution under  841 by virtue of his status as a registrant and that a registrant can be prosecuted only under  842 and 843, which prescribe less severe penalties than  841.
Held:  Registered physicians can be prosecuted under  841 when, as here, their activities fall outside the usual course of professional practice.  Pp.  423 U. S. 131-145.
(a) Only the lawful acts of registrants under the CSA are exempted from prosecution under  841.  That section, by its terms, reaches ""any person,"" and does not exempt (as it could have) ""all registrants"" or ""all persons registered under the Act.""  The language of the qualified authorization of  822(b), which authorizes registrants to possess, distribute, or dispense controlled substances to the extent authorized by their registration and in conformity with other CSA provisions, and which was added merely to ensure that persons engaged in lawful activities could not be prosecuted, cannot be fairly read to support the view that all activities of registered physicians are beyond the reach of  841 simply because of their status.  Pp.  423 U. S. 131-133.
(b) There is no indication in the operative language of  841-843 that Congress intended to establish two mutually exclusive 
Page 423 U. S. 123
 penalty systems, with nonregistrants to be punished under  841 and registrants under  842 and 843, the fact that the term ""registrants"" is used in some subsections of  842 and 843, but not in  841, being of limited significance.  Moreover, the legislative history indicates that Congress was concerned with the nature of the drug transaction, rather than with the defendant's status.  Pp.  423 U. S. 133-135.
(c) It is immaterial whether respondent also could have been prosecuted for the relatively minor offense of violating  829 with respect to the issuing of prescriptions, since there is nothing in the statutory scheme or the legislative history that justifies a conclusion that a registrant who may be prosecuted for violating  829 is thereby exempted from prosecution under  841 for the significantly greater offense of acting as a drug ""pusher.""  Pp.  423 U. S. 135-138.
(d) The scheme of the CSA, viewed against the background of the legislative history, reveals an intent to limit a registered physician's dispensing authority to the course of his ""professional practice.""  Pp.  423 U. S. 138-143.
(e) Congress was concerned that the drug laws not impede legitimate research, and that physicians be allowed reasonable discretion in treating patients, but it did not intend to exempt from serious criminal penalties those acts by physicians that go beyond the limits of approved professional practice.  Pp.  423 U. S. 143-145.
(f) Where the statutory purpose is clear, the canon of strict construction of criminal statutes favoring the accused will be satisfied if the words of the statute are ""given their fair meaning in accord with the manifest intent of the lawmakers.""  United States v. Brown, 333 U. S. 18,  333 U. S. 25-26.  P.  423 U. S. 145.
164 U.S.App.D.C. 319, 505 F.2d 426, reversed and remanded.
POWELL, J., delivered the opinion for a unanimous Court. 
Page 423 U. S. 124


Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"United States v. Moore
No. 74-759
Argued October 7, 1975
Decided December 9, 1975
423 U.S. 122

Syllabus 
Respondent, a licensed physician registered under the Controlled Substances Act (CSA), 21 U.S.C.  801 et seq., was convicted of knowing and unlawful distribution and dispensation of methadone (a controlled substance or addictive drug used in the treatment of heroin addicts) in violation of 21 U.S.C.  841(a)(1), which makes it unlawful for ""any person"" knowingly or intentionally to distribute or dispense a controlled substance, except as authorized by the CSA.  The evidence disclosed that respondent prescribed large quantities of methadone for patients without giving them adequate physical examinations or specific instructions for its use and charged fees according to the quantity of methadone prescribed, rather than fees for medical services rendered.  The Court of Appeals, however, reversed the conviction on the grounds that respondent was exempted from prosecution under  841 by virtue of his status as a registrant and that a registrant can be prosecuted only under  842 and 843, which prescribe less severe penalties than  841.
Held:  Registered physicians can be prosecuted under  841 when, as here, their activities fall outside the usual course of professional practice.  Pp.  423 U. S. 131-145.
(a) Only the lawful acts of registrants under the CSA are exempted from prosecution under  841.  That section, by its terms, reaches ""any person,"" and does not exempt (as it could have) ""all registrants"" or ""all persons registered under the Act.""  The language of the qualified authorization of  822(b), which authorizes registrants to possess, distribute, or dispense controlled substances to the extent authorized by their registration and in conformity with other CSA provisions, and which was added merely to ensure that persons engaged in lawful activities could not be prosecuted, cannot be fairly read to support the view that all activities of registered physicians are beyond the reach of  841 simply because of their status.  Pp.  423 U. S. 131-133.
(b) There is no indication in the operative language of  841-843 that Congress intended to establish two mutually exclusive 
Page 423 U. S. 123
 penalty systems, with nonregistrants to be punished under  841 and registrants under  842 and 843, the fact that the term ""registrants"" is used in some subsections of  842 and 843, but not in  841, being of limited significance.  Moreover, the legislative history indicates that Congress was concerned with the nature of the drug transaction, rather than with the defendant's status.  Pp.  423 U. S. 133-135.
(c) It is immaterial whether respondent also could have been prosecuted for the relatively minor offense of violating  829 with respect to the issuing of prescriptions, since there is nothing in the statutory scheme or the legislative history that justifies a conclusion that a registrant who may be prosecuted for violating  829 is thereby exempted from prosecution under  841 for the significantly greater offense of acting as a drug ""pusher.""  Pp.  423 U. S. 135-138.
(d) The scheme of the CSA, viewed against the background of the legislative history, reveals an intent to limit a registered physician's dispensing authority to the course of his ""professional practice.""  Pp.  423 U. S. 138-143.
(e) Congress was concerned that the drug laws not impede legitimate research, and that physicians be allowed reasonable discretion in treating patients, but it did not intend to exempt from serious criminal penalties those acts by physicians that go beyond the limits of approved professional practice.  Pp.  423 U. S. 143-145.
(f) Where the statutory purpose is clear, the canon of strict construction of criminal statutes favoring the accused will be satisfied if the words of the statute are ""given their fair meaning in accord with the manifest intent of the lawmakers.""  United States v. Brown, 333 U. S. 18,  333 U. S. 25-26.  P.  423 U. S. 145.
164 U.S.App.D.C. 319, 505 F.2d 426, reversed and remanded.
POWELL, J., delivered the opinion for a unanimous Court. 
Page 423 U. S. 124
"|
|423 u.s. 77|"United States v. Moore
No. 74-687
Argued October 15, 1975
Decided December 2, 1975
423 U.S. 77

Syllabus 
Obligations of an insolvent debtor arising from default in the performance of government contracts, occurring before an assignment for the benefit of creditors held entitled to the statutory priority accorded ""debts due to the United States"" under 31 U.S.C.  191, even though the obligations were unliquidated in amount at the time of the assignment.  Pp.  423 U. S. 80-86.
(a) Nothing on the face of  191, and no potential difficulty in administering it, require any distinction between liquidated and unliquidated debts for purpose of the statutory priority; the statute's language looks to the time of payment, rather than the time when the assignment is made.  P.  423 U. S. 83.
(b) To construe the words ""debts due to the United States"" as including unliquidated claims and as not being restricted to those obligations that would on the date of the assignment have given rise to a common law action for debt, comports with the treatment of unliquidated claims in the Bankruptcy Acts, including the current Act.  Pp.  423 U. S. 83-85.
(c) The obligations in question were fixed and independent of ""events after insolvency,"" and only the precise amount of those obligations awaited future events.  Pp.  423 U. S. 85-86.
497 F.2d 976, reversed and remanded.
BURGER, C.J., delivered the opinion for a unanimous Court. 
Page 423 U. S. 78


Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"United States v. Moore
No. 74-687
Argued October 15, 1975
Decided December 2, 1975
423 U.S. 77

Syllabus 
Obligations of an insolvent debtor arising from default in the performance of government contracts, occurring before an assignment for the benefit of creditors held entitled to the statutory priority accorded ""debts due to the United States"" under 31 U.S.C.  191, even though the obligations were unliquidated in amount at the time of the assignment.  Pp.  423 U. S. 80-86.
(a) Nothing on the face of  191, and no potential difficulty in administering it, require any distinction between liquidated and unliquidated debts for purpose of the statutory priority; the statute's language looks to the time of payment, rather than the time when the assignment is made.  P.  423 U. S. 83.
(b) To construe the words ""debts due to the United States"" as including unliquidated claims and as not being restricted to those obligations that would on the date of the assignment have given rise to a common law action for debt, comports with the treatment of unliquidated claims in the Bankruptcy Acts, including the current Act.  Pp.  423 U. S. 83-85.
(c) The obligations in question were fixed and independent of ""events after insolvency,"" and only the precise amount of those obligations awaited future events.  Pp.  423 U. S. 85-86.
497 F.2d 976, reversed and remanded.
BURGER, C.J., delivered the opinion for a unanimous Court. 
Page 423 U. S. 78
"|
|423 u.s. 87|"United States v. Powell
No. 74-884
Argued October 6, 1975
Decided December 2, 1975
423 U.S. 87

Syllabus 
Respondent was convicted of violating 18 U.S.C.  1715, which proscribes mailing pistols, revolvers, and ""other firearms capable of being concealed on the person,"" by having sent a 22-inch sawed-off shotgun through the mails.  There was evidence at the trial that the gun could be concealed on an average person.  The Court of Appeals reversed, holding that the quoted portion of  1715 was so vague as to violate due process.  In addition to the constitutional claim respondent contends that, as a matter of statutory construction, particularly in light of the ejusdem generis doctrine, the quoted portion does not embrace sawed-off shotguns.
Held:
1. The narrow reading of the statute urged by respondent does not comport with the legislative purpose of making it more difficult for criminals to obtain concealable weapons, and the rule of ejusdem generis may not be used to defeat that purpose.  Here, a properly instructed jury could have found the shotgun mailed by respondent to have been a ""firearm capable of being concealed on the person"" within the meaning of  1715.  Pp.  423 U. S. 90-91.
2. Section 1715 intelligibly forbids a definite course of conduct (mailing concealable firearms) and gave respondent adequate warning that mailing the gun was a criminal offense.  That Congress might have chosen ""[c]learer and more precise language"" equally capable of achieving its objective does not mean that the statute is unconstitutionally vague.  United States v. Petrillo, 332 U. S. 1,  332 U. S. 7.  Pp.  423 U. S. 92-94.
501 F.2d 1136, reversed.
REHNQUIST, J., delivered the opinion of the Court, in which BURGER, C.J., and BRENNAN, WHITE, MARSHALL, BLACKMUN, and POWELL, JJ., joined.  STEWART, J., filed an opinion concurring in part and dissenting in part, post, p.  423 U. S. 94. 
Page 423 U. S. 88


Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"United States v. Powell
No. 74-884
Argued October 6, 1975
Decided December 2, 1975
423 U.S. 87

Syllabus 
Respondent was convicted of violating 18 U.S.C.  1715, which proscribes mailing pistols, revolvers, and ""other firearms capable of being concealed on the person,"" by having sent a 22-inch sawed-off shotgun through the mails.  There was evidence at the trial that the gun could be concealed on an average person.  The Court of Appeals reversed, holding that the quoted portion of  1715 was so vague as to violate due process.  In addition to the constitutional claim respondent contends that, as a matter of statutory construction, particularly in light of the ejusdem generis doctrine, the quoted portion does not embrace sawed-off shotguns.
Held:
1. The narrow reading of the statute urged by respondent does not comport with the legislative purpose of making it more difficult for criminals to obtain concealable weapons, and the rule of ejusdem generis may not be used to defeat that purpose.  Here, a properly instructed jury could have found the shotgun mailed by respondent to have been a ""firearm capable of being concealed on the person"" within the meaning of  1715.  Pp.  423 U. S. 90-91.
2. Section 1715 intelligibly forbids a definite course of conduct (mailing concealable firearms) and gave respondent adequate warning that mailing the gun was a criminal offense.  That Congress might have chosen ""[c]learer and more precise language"" equally capable of achieving its objective does not mean that the statute is unconstitutionally vague.  United States v. Petrillo, 332 U. S. 1,  332 U. S. 7.  Pp.  423 U. S. 92-94.
501 F.2d 1136, reversed.
REHNQUIST, J., delivered the opinion of the Court, in which BURGER, C.J., and BRENNAN, WHITE, MARSHALL, BLACKMUN, and POWELL, JJ., joined.  STEWART, J., filed an opinion concurring in part and dissenting in part, post, p.  423 U. S. 94. 
Page 423 U. S. 88
"|
|423 u.s. 64|"Dillingham v. United States
No. 74-6738
Decided December 1, 1975
423 U.S. 64

Syllabus 
A 22-month delay between petitioner's arrest and indictment for federal offenses held required to be counted in assessing his claim that he was denied a speedy trial in violation of the Sixth Amendment.  United States v. Marion, 404 U. S. 307, distinguished.
Certiorari granted; 502 F.2d 1233, reversed and remanded.

Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"Dillingham v. United States
No. 74-6738
Decided December 1, 1975
423 U.S. 64

Syllabus 
A 22-month delay between petitioner's arrest and indictment for federal offenses held required to be counted in assessing his claim that he was denied a speedy trial in violation of the Sixth Amendment.  United States v. Marion, 404 U. S. 307, distinguished.
Certiorari granted; 502 F.2d 1233, reversed and remanded."|
