docket_nums|citations|opinions|syllabuses|summaries
|404 u.s. 257|"Santobello v. New York
No. 70-98
Argued November 15, 1971
Decided December 20, 1971
404 U.S. 257

Syllabus 
After negotiations with the prosecutor, petitioner withdrew his previous not-guilty plea to two felony counts and pleaded guilty to a lesser included offense, the prosecutor having agreed to make no recommendation as to sentence.  At petitioner's appearance for sentencing many months later, a new prosecutor recommended the maximum sentence, which the judge (who stated that he was uninfluenced by that recommendation) imposed.  Petitioner attempted unsuccessfully to withdraw his guilty plea, and his conviction was affirmed on appeal.
Held:  The interests of justice and proper recognition of the prosecution's duties in relation to promises made in connection with ""plea bargaining"" require that the judgment be vacated and that the case be remanded to the state courts for further consideration as to whether the circumstances require only that there be specific performance of the agreement on the plea (in which case petitioner should be resentenced by a different judge), or petitioner should be afforded the relief he seeks of withdrawing his guilty plea.  Pp.  404 U. S. 260-263.
35 App.Div.2d 1084, 316 N.Y.S.2d 194, vacated and remanded.
BURGER, C.J., delivered the opinion of the Court, in which DOUGLAS, WHITE, and BLACKMUN, JJ., joined.  DOUGLAS, J., filed a concurring opinion, post, p.  404 U. S. 263.  MARSHALL, J., filed an opinion concurring in part and dissenting in part, in which BRENNAN and STEWART, JJ., joined, post, p.  404 U. S. 267.

Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"Santobello v. New York
No. 70-98
Argued November 15, 1971
Decided December 20, 1971
404 U.S. 257

Syllabus 
After negotiations with the prosecutor, petitioner withdrew his previous not-guilty plea to two felony counts and pleaded guilty to a lesser included offense, the prosecutor having agreed to make no recommendation as to sentence.  At petitioner's appearance for sentencing many months later, a new prosecutor recommended the maximum sentence, which the judge (who stated that he was uninfluenced by that recommendation) imposed.  Petitioner attempted unsuccessfully to withdraw his guilty plea, and his conviction was affirmed on appeal.
Held:  The interests of justice and proper recognition of the prosecution's duties in relation to promises made in connection with ""plea bargaining"" require that the judgment be vacated and that the case be remanded to the state courts for further consideration as to whether the circumstances require only that there be specific performance of the agreement on the plea (in which case petitioner should be resentenced by a different judge), or petitioner should be afforded the relief he seeks of withdrawing his guilty plea.  Pp.  404 U. S. 260-263.
35 App.Div.2d 1084, 316 N.Y.S.2d 194, vacated and remanded.
BURGER, C.J., delivered the opinion of the Court, in which DOUGLAS, WHITE, and BLACKMUN, JJ., joined.  DOUGLAS, J., filed a concurring opinion, post, p.  404 U. S. 263.  MARSHALL, J., filed an opinion concurring in part and dissenting in part, in which BRENNAN and STEWART, JJ., joined, post, p.  404 U. S. 267."|
|404 u.s. 270|"Picard v. Connor
No. 70-96
Argued November 17, 1971
Decided December 20, 1971
404 U.S. 270

Syllabus 
A grand jury returned a murder indictment against a named individual ""and John Doe, the true name and a more particular description of the said John Doe being to the said Jurors unknown.""  After respondent's arrest the indictment was amended pursuant to state law to substitute respondent's name for ""John Doe.""  The highest state court affirmed respondent's subsequent conviction, rejecting his challenge to the legality of the indictment made on the ground that the amending procedure did not comply with the statute.  Respondent subsequently filed a petition for a writ of habeas corpus in the District Court, which dismissed the petition.  The Court of Appeals reversed, holding that the procedure by which respondent was brought to trial was violative of equal protection.  The court rejected petitioner's contention that respondent, who had not previously raised the equal protection issue, had not exhausted available state judicial remedies as required by 28 U.S.C.  2254, holding that respondent had presented the state court with ""an opportunity to apply controlling legal principles to the facts bearing upon [his] constitutional claim.""
Held:  The substance of a federal habeas corpus claim must in the first instance be fairly presented to the state courts, and since, on the record and argument before it, the State's highest court had no fair opportunity to consider and act upon the equal protection claim, the Court of Appeals erred in holding that respondent had exhausted his state remedies.  Pp.  404 U. S. 275-278.
434 F.2d 673, reversed and remanded.
BRENNAN, J., delivered the opinion of the Court, in which BURGER, C.J., and STEWART, WHITE, MARSHALL, and BLACKMUN, JJ., joined.  DOUGLAS, J., filed a dissenting opinion, post, p.  404 U. S. 278. 
Page 404 U. S. 271


Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"Picard v. Connor
No. 70-96
Argued November 17, 1971
Decided December 20, 1971
404 U.S. 270

Syllabus 
A grand jury returned a murder indictment against a named individual ""and John Doe, the true name and a more particular description of the said John Doe being to the said Jurors unknown.""  After respondent's arrest the indictment was amended pursuant to state law to substitute respondent's name for ""John Doe.""  The highest state court affirmed respondent's subsequent conviction, rejecting his challenge to the legality of the indictment made on the ground that the amending procedure did not comply with the statute.  Respondent subsequently filed a petition for a writ of habeas corpus in the District Court, which dismissed the petition.  The Court of Appeals reversed, holding that the procedure by which respondent was brought to trial was violative of equal protection.  The court rejected petitioner's contention that respondent, who had not previously raised the equal protection issue, had not exhausted available state judicial remedies as required by 28 U.S.C.  2254, holding that respondent had presented the state court with ""an opportunity to apply controlling legal principles to the facts bearing upon [his] constitutional claim.""
Held:  The substance of a federal habeas corpus claim must in the first instance be fairly presented to the state courts, and since, on the record and argument before it, the State's highest court had no fair opportunity to consider and act upon the equal protection claim, the Court of Appeals erred in holding that respondent had exhausted his state remedies.  Pp.  404 U. S. 275-278.
434 F.2d 673, reversed and remanded.
BRENNAN, J., delivered the opinion of the Court, in which BURGER, C.J., and STEWART, WHITE, MARSHALL, and BLACKMUN, JJ., joined.  DOUGLAS, J., filed a dissenting opinion, post, p.  404 U. S. 278. 
Page 404 U. S. 271
"|
|404 u.s. 282|"Townsend v. Swank
No. 70-5021
Argued November 8, 1971
Decided December 20, 1971*
404 U.S. 282

Syllabus 
This class action challenges on equal protection and supremacy grounds an Illinois statute and regulation under which needy dependent children 18 through 20 years old attending high school or vocational training school qualify for benefits under the federally assisted Aid to Families With Dependent Children (AFDC) program, but such children attending a college or university do not qualify.  A three-judge District Court upheld the Illinois scheme.
Held:  Under  402(a)(10) of the Social Security Act, a state participating plan under the AFDC program must provide that aid to families with dependent children shall be furnished with reasonable promptness to ""all eligible"" individuals.  Since  406(a)(2)(B) of the Act makes dependent 18-20-year-olds eligible for benefits whether attending a college or university or a vocational or technical training course, and Congress has authorized no limitation of eligibility standards within the age group, the Illinois program conflicts with that federal statutory provision and violates the Supremacy Clause.  Pp.  404 U. S. 285-292.
314 F.Supp. 1082, reversed.
BRENNAN, J., delivered the opinion of the Court, in which DOUGLAS, STEWART, WHITE, MARSHALL, and BLACKMUN, JJ., joined.  BURGER, C.J., filed an opinion concurring in the result, post, p.  404 U. S. 292. 
Page 404 U. S. 283


Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"Townsend v. Swank
No. 70-5021
Argued November 8, 1971
Decided December 20, 1971*
404 U.S. 282

Syllabus 
This class action challenges on equal protection and supremacy grounds an Illinois statute and regulation under which needy dependent children 18 through 20 years old attending high school or vocational training school qualify for benefits under the federally assisted Aid to Families With Dependent Children (AFDC) program, but such children attending a college or university do not qualify.  A three-judge District Court upheld the Illinois scheme.
Held:  Under  402(a)(10) of the Social Security Act, a state participating plan under the AFDC program must provide that aid to families with dependent children shall be furnished with reasonable promptness to ""all eligible"" individuals.  Since  406(a)(2)(B) of the Act makes dependent 18-20-year-olds eligible for benefits whether attending a college or university or a vocational or technical training course, and Congress has authorized no limitation of eligibility standards within the age group, the Illinois program conflicts with that federal statutory provision and violates the Supremacy Clause.  Pp.  404 U. S. 285-292.
314 F.Supp. 1082, reversed.
BRENNAN, J., delivered the opinion of the Court, in which DOUGLAS, STEWART, WHITE, MARSHALL, and BLACKMUN, JJ., joined.  BURGER, C.J., filed an opinion concurring in the result, post, p.  404 U. S. 292. 
Page 404 U. S. 283
"|
|404 u.s. 293|"United States v. Campos-Serrano
No. 70-46
Argued October 14, 1971
Decided December 20, 1971
404 U.S. 293

Syllabus 
Possession of counterfeit alien registration receipt card held not an act punishable under 18 U.S.C.  1546, which prohibits, inter alia, the counterfeiting or alteration of, or the possession, use, or receipt of an already counterfeited or altered ""immigrant or nonimmigrant visa, permit, or other document required for entry into the United States.""  The primary purpose of an alien registration receipt card is for identification within the United States, and its merely permissible reentry function under an Immigration and Naturalization service regulation does not suffice to bring the card within the coverage of the statute.  There is a separate statutory provision specifically protecting the integrity of alien registration receipt cards, indicating that the Congress did not intend them to be covered by the more general language of  1546.  Pp. 295-301.
430 F.2d 173, affirmed.
STEWART, J., delivered the opinion of the Court, in which DOUGLAS, BRENNAN, and MARSHALL, JJ., joined.  BLACKMUN, J., filed a dissenting opinion, in which BURGER, C.J., and WHITE, J., joined, post, p.  404 U. S. 301. 
Page 404 U. S. 294


Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"United States v. Campos-Serrano
No. 70-46
Argued October 14, 1971
Decided December 20, 1971
404 U.S. 293

Syllabus 
Possession of counterfeit alien registration receipt card held not an act punishable under 18 U.S.C.  1546, which prohibits, inter alia, the counterfeiting or alteration of, or the possession, use, or receipt of an already counterfeited or altered ""immigrant or nonimmigrant visa, permit, or other document required for entry into the United States.""  The primary purpose of an alien registration receipt card is for identification within the United States, and its merely permissible reentry function under an Immigration and Naturalization service regulation does not suffice to bring the card within the coverage of the statute.  There is a separate statutory provision specifically protecting the integrity of alien registration receipt cards, indicating that the Congress did not intend them to be covered by the more general language of  1546.  Pp. 295-301.
430 F.2d 173, affirmed.
STEWART, J., delivered the opinion of the Court, in which DOUGLAS, BRENNAN, and MARSHALL, JJ., joined.  BLACKMUN, J., filed a dissenting opinion, in which BURGER, C.J., and WHITE, J., joined, post, p.  404 U. S. 301. 
Page 404 U. S. 294
"|
|404 u.s. 307|"United States v. Marion
No. 70-19
Argued November 8, 1971
Decided December 20, 1971
404 U.S. 307

Syllabus 
Appellees, claiming that the Government had known of the crimes with which they were charged, the circumstances of the crimes, and appellees' identities for over three years before they were indicted, moved to dismiss on the ground that the indictment was returned ""an unreasonably oppressive and unjustifiable time after the alleged offenses,"" and that the delay deprived them of rights to due process of law and a speedy trial as secured by the Fifth and Sixth Amendments.  While asserting no specific prejudice, appellees contended that the indictment required memory of many specific acts and conversations occurring several years before and that the delay was due to the prosecutor's negligence or indifference in investigating the case and presenting it to the grand jury.  The District Court, after a hearing, granted appellees' motion and dismissed the indictment for ""lack of speedy prosecution,"" having found that the defense was ""bound to have been seriously prejudiced"" by the three-year delay.  The Government took a direct appeal to this Court, which postponed consideration of the question of jurisdiction until the hearing on the merits.
Held:
1. The motion to dismiss the indictment for lack of a speedy trial was in the nature of a confession and avoidance, and constituted a motion in bar by appellees who had not been placed in jeopardy when the District Court entered its order of dismissal.  That order was therefore directly appealable to this Court under former 18 U.S.C.  3731.  Pp.  404 U. S. 311-312.
2. The Sixth Amendment's guarantee of a speedy trial is applicable only after a person has been ""accused"" of a crime, which in this case did not occur until appellees (who had not previously been arrested or otherwise charged) were indicted.  Pp.  404 U. S. 313-320.
3. The relevant statute of limitations provides a safeguard against possible prejudice resulting from pre-accusation delay, and here appellees were indicted within the applicable limitations period.  Pp.  404 U. S. 320-323. 
Page 404 U. S. 308

4. Though the Due Process Clause may provide a basis for dismissing an indictment if the defense can how at trial that prosecutorial delay has prejudiced the right to a fair trial, appellees have not claimed or proved actual prejudice resulting from the delay, and their due process claims are therefore speculative and premature.  Pp.  404 U. S. 325-326.
Reversed.
WHITE, J., delivered the opinion of the Court, in which BURGER, C.J., and STEWART and BLACKMUN JJ., joined.  DOUGLAS, J., filed an opinion concurring in the result, in which BRENNAN and MARSHALL, JJ., joined, post, p.  404 U. S. 326.

Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"United States v. Marion
No. 70-19
Argued November 8, 1971
Decided December 20, 1971
404 U.S. 307

Syllabus 
Appellees, claiming that the Government had known of the crimes with which they were charged, the circumstances of the crimes, and appellees' identities for over three years before they were indicted, moved to dismiss on the ground that the indictment was returned ""an unreasonably oppressive and unjustifiable time after the alleged offenses,"" and that the delay deprived them of rights to due process of law and a speedy trial as secured by the Fifth and Sixth Amendments.  While asserting no specific prejudice, appellees contended that the indictment required memory of many specific acts and conversations occurring several years before and that the delay was due to the prosecutor's negligence or indifference in investigating the case and presenting it to the grand jury.  The District Court, after a hearing, granted appellees' motion and dismissed the indictment for ""lack of speedy prosecution,"" having found that the defense was ""bound to have been seriously prejudiced"" by the three-year delay.  The Government took a direct appeal to this Court, which postponed consideration of the question of jurisdiction until the hearing on the merits.
Held:
1. The motion to dismiss the indictment for lack of a speedy trial was in the nature of a confession and avoidance, and constituted a motion in bar by appellees who had not been placed in jeopardy when the District Court entered its order of dismissal.  That order was therefore directly appealable to this Court under former 18 U.S.C.  3731.  Pp.  404 U. S. 311-312.
2. The Sixth Amendment's guarantee of a speedy trial is applicable only after a person has been ""accused"" of a crime, which in this case did not occur until appellees (who had not previously been arrested or otherwise charged) were indicted.  Pp.  404 U. S. 313-320.
3. The relevant statute of limitations provides a safeguard against possible prejudice resulting from pre-accusation delay, and here appellees were indicted within the applicable limitations period.  Pp.  404 U. S. 320-323. 
Page 404 U. S. 308

4. Though the Due Process Clause may provide a basis for dismissing an indictment if the defense can how at trial that prosecutorial delay has prejudiced the right to a fair trial, appellees have not claimed or proved actual prejudice resulting from the delay, and their due process claims are therefore speculative and premature.  Pp.  404 U. S. 325-326.
Reversed.
WHITE, J., delivered the opinion of the Court, in which BURGER, C.J., and STEWART and BLACKMUN JJ., joined.  DOUGLAS, J., filed an opinion concurring in the result, in which BRENNAN and MARSHALL, JJ., joined, post, p.  404 U. S. 326."|
|404 u.s. 336|"United States v. Bass
No. 70-71
Argued October 18, 1971
Decided December 20, 1971
404 U.S. 336

Syllabus 
Respondent was convicted of possessing firearms in violation of  1202(a)(1) of the Omnibus Crime Control and Safe Streets Act, which provides that a person convicted of a felony ""who receives, possesses, or transports in commerce or affecting commerce . . . any firearm . . ."" shall be punished as prescribed therein.  The indictment did not allege and no attempt was made to show that the firearms involved had been possessed ""in commerce or affecting commerce,"" the Government contending that the statute does not require proof of a connection with interstate commerce in individual cases involving possession or receipt.  Doubting its constitutionality if the statute were thus construed, the Court of Appeals reversed.
Held:  It is not clear from the language and legislative history of  1202(a)(1) whether or not receipt or possession of a firearm by a convicted felon has to be shown in an individual prosecution to have been connected with interstate commerce.  The ambiguity of this provision (which is not only a criminal statute but one whose broad construction would define as a federal offense conduct readily proscribed by the States), must therefore be resolved in favor of the narrower reading that a nexus with interstate commerce must be shown with respect to all three offenses embraced by the provision.  Pp.  404 U. S. 339-351
434 F.2d 1296, affirmed.
MARSHALL, J., delivered the opinion of the Court, in which DOUGLAS, BRENNAN (except for Part III), STEWART, and WHITE, JJ., joined.  BRENNAN, J., filed a separate statement, post, p.  404 U. S. 351.  BLACKMUN, J., filed a dissenting opinion, in which BURGER, C.J., joined, post, p.  404 U. S. 351. 
Page 404 U. S. 337


Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"United States v. Bass
No. 70-71
Argued October 18, 1971
Decided December 20, 1971
404 U.S. 336

Syllabus 
Respondent was convicted of possessing firearms in violation of  1202(a)(1) of the Omnibus Crime Control and Safe Streets Act, which provides that a person convicted of a felony ""who receives, possesses, or transports in commerce or affecting commerce . . . any firearm . . ."" shall be punished as prescribed therein.  The indictment did not allege and no attempt was made to show that the firearms involved had been possessed ""in commerce or affecting commerce,"" the Government contending that the statute does not require proof of a connection with interstate commerce in individual cases involving possession or receipt.  Doubting its constitutionality if the statute were thus construed, the Court of Appeals reversed.
Held:  It is not clear from the language and legislative history of  1202(a)(1) whether or not receipt or possession of a firearm by a convicted felon has to be shown in an individual prosecution to have been connected with interstate commerce.  The ambiguity of this provision (which is not only a criminal statute but one whose broad construction would define as a federal offense conduct readily proscribed by the States), must therefore be resolved in favor of the narrower reading that a nexus with interstate commerce must be shown with respect to all three offenses embraced by the provision.  Pp.  404 U. S. 339-351
434 F.2d 1296, affirmed.
MARSHALL, J., delivered the opinion of the Court, in which DOUGLAS, BRENNAN (except for Part III), STEWART, and WHITE, JJ., joined.  BRENNAN, J., filed a separate statement, post, p.  404 U. S. 351.  BLACKMUN, J., filed a dissenting opinion, in which BURGER, C.J., joined, post, p.  404 U. S. 351. 
Page 404 U. S. 337
"|
|404 u.s. 357|"Schilb v. Kuebel
No. 70-90
Argued October 12, 1971
Decided December 20, 1971
404 U.S. 357

Syllabus 
Illinois law provides three ways in which an accused can secure his pretrial release:  (1) personal recognizance; (2) execution of a bail bond, with a deposit of 10% of the bail, all but 10% of which (amounting to 1% of the bail) is returned on performance of the bond conditions, and (3) execution of a bail bond, secured by a full amount deposit in cash, authorized securities, or certain real estate, all of which is returned on performance of the bond conditions.  Appellant Schilb, charged with two traffic offenses, secured pretrial release after depositing 10% of the bail fixed.  He was convicted of one offense and acquitted of the other.  After he paid his fine, all but 1% of the bail (amounting to $7.50) was refunded.  In this class action, he thereafter challenged the Illinois system on due process and equal protection grounds, claiming that the 1% retention charge is imposed on only one segment of the class gaining pretrial release, and on the poor but not on the rich; and that its imposition on an accused found innocent constitutes a court cost against the nonguilty.  The trial court dismissed Schilb's complaint, and the State Supreme Court affirmed.
Held:
1. The Illinois bail system does not violate equal protection requirements.  Pp.  404 U. S. 364-370.
(a) The facts that the State has no safekeeping costs where release is on personal recognizance, and has never imposed a charge with respect to a recognizance, provide a rational basis for distinguishing that situation from the situations where deposits are made.  Though the administrative costs of the deposit system are substantially the same, other factors afford a rational basis for making no charge under the full amount deposit system.  Rinaldi v. Yeager, 384 U. S. 305, distinguished.  Pp.  404 U. S. 367-369.
(b) There is no indication that the personal recognizance system is not used without regard to the economic status of the accused, or that the full deposit system actually favors the affluent.  Pp.  404 U. S. 369-370.
2. No due process denial results from retention of the 1% charge, which is an administrative fee (and not a cost of prosecution), imposed on all -- guilty and innocent alike -- who seek its 
Page 404 U. S. 358
 benefit.  Giaccio v. Pennsylvania, 382 U. S. 399, distinguished.  Pp.  404 U. S. 370-371.
46 Ill.2d 538, 264 N.E.2d 377, affirmed.
BLACKMUN, J., delivered the opinion of the Court, in which BURGER, C.J., and WHITE and MARSHALL, JJ., joined.  MARSHALL, J., filed a concurring opinion, post, p.  404 U. S. 372; DOUGLAS, J., filed a dissenting opinion, post, p.  404 U. S. 373.  STEWART, J., filed a dissenting opinion, in which BRENNAN, J., joined, post, p.  404 U. S. 381.

Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"Schilb v. Kuebel
No. 70-90
Argued October 12, 1971
Decided December 20, 1971
404 U.S. 357

Syllabus 
Illinois law provides three ways in which an accused can secure his pretrial release:  (1) personal recognizance; (2) execution of a bail bond, with a deposit of 10% of the bail, all but 10% of which (amounting to 1% of the bail) is returned on performance of the bond conditions, and (3) execution of a bail bond, secured by a full amount deposit in cash, authorized securities, or certain real estate, all of which is returned on performance of the bond conditions.  Appellant Schilb, charged with two traffic offenses, secured pretrial release after depositing 10% of the bail fixed.  He was convicted of one offense and acquitted of the other.  After he paid his fine, all but 1% of the bail (amounting to $7.50) was refunded.  In this class action, he thereafter challenged the Illinois system on due process and equal protection grounds, claiming that the 1% retention charge is imposed on only one segment of the class gaining pretrial release, and on the poor but not on the rich; and that its imposition on an accused found innocent constitutes a court cost against the nonguilty.  The trial court dismissed Schilb's complaint, and the State Supreme Court affirmed.
Held:
1. The Illinois bail system does not violate equal protection requirements.  Pp.  404 U. S. 364-370.
(a) The facts that the State has no safekeeping costs where release is on personal recognizance, and has never imposed a charge with respect to a recognizance, provide a rational basis for distinguishing that situation from the situations where deposits are made.  Though the administrative costs of the deposit system are substantially the same, other factors afford a rational basis for making no charge under the full amount deposit system.  Rinaldi v. Yeager, 384 U. S. 305, distinguished.  Pp.  404 U. S. 367-369.
(b) There is no indication that the personal recognizance system is not used without regard to the economic status of the accused, or that the full deposit system actually favors the affluent.  Pp.  404 U. S. 369-370.
2. No due process denial results from retention of the 1% charge, which is an administrative fee (and not a cost of prosecution), imposed on all -- guilty and innocent alike -- who seek its 
Page 404 U. S. 358
 benefit.  Giaccio v. Pennsylvania, 382 U. S. 399, distinguished.  Pp.  404 U. S. 370-371.
46 Ill.2d 538, 264 N.E.2d 377, affirmed.
BLACKMUN, J., delivered the opinion of the Court, in which BURGER, C.J., and WHITE and MARSHALL, JJ., joined.  MARSHALL, J., filed a concurring opinion, post, p.  404 U. S. 372; DOUGLAS, J., filed a dissenting opinion, post, p.  404 U. S. 373.  STEWART, J., filed a dissenting opinion, in which BRENNAN, J., joined, post, p.  404 U. S. 381."|
|404 u.s. 244|"North Carolina v. Rice
No. 70-77
Argued October 12, 1971
Decided December 14, 1971
404 U.S. 244

Syllabus 
Respondent was convicted in a General County Court in North Carolina of driving while intoxicated and was sentenced to nine months' imprisonment and payment of a fine.  On appeal, he was tried de novo in the Superior Court, found guilty, and given a two-year sentence.  The District Court denied habeas corpus, and respondent, who by then had been completely discharged from prison, appealed to the Court of Appeals.  That court, relying on North Carolina v. Pearce, 395 U. S. 711, held that the case was not mooted by respondent's discharge, and that respondent was entitled to have the record of his conviction expunged.
Held:  North Carolina v. Pearce, supra, does not require that respondent's conviction be invalidated, but only that he be resentenced if the higher sentence imposed after the de novo trial was vulnerable under Pearce.  Since the present record deals with the mootness issue only from the standpoint of conviction vel non, and does not reveal whether, under state law, benefits accrue to respondent in having his sentence reduced after he has served it, the case is remanded for reconsideration of the mootness question.
434 F.2d 297, vacated and remanded. 
Page 404 U. S. 245


Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"North Carolina v. Rice
No. 70-77
Argued October 12, 1971
Decided December 14, 1971
404 U.S. 244

Syllabus 
Respondent was convicted in a General County Court in North Carolina of driving while intoxicated and was sentenced to nine months' imprisonment and payment of a fine.  On appeal, he was tried de novo in the Superior Court, found guilty, and given a two-year sentence.  The District Court denied habeas corpus, and respondent, who by then had been completely discharged from prison, appealed to the Court of Appeals.  That court, relying on North Carolina v. Pearce, 395 U. S. 711, held that the case was not mooted by respondent's discharge, and that respondent was entitled to have the record of his conviction expunged.
Held:  North Carolina v. Pearce, supra, does not require that respondent's conviction be invalidated, but only that he be resentenced if the higher sentence imposed after the de novo trial was vulnerable under Pearce.  Since the present record deals with the mootness issue only from the standpoint of conviction vel non, and does not reveal whether, under state law, benefits accrue to respondent in having his sentence reduced after he has served it, the case is remanded for reconsideration of the mootness question.
434 F.2d 297, vacated and remanded. 
Page 404 U. S. 245
"|
|404 u.s. 249|"Wilwording v. Swenson
No. 70-5308
Decided December 14, 1971
404 U.S. 249

Syllabus 
Petitioners' complaints relating to the condition of their confinement were held by the Missouri courts not to be cognizable by means of a petition for habeas corpus.  The Court of Appeals affirmed the District Court's subsequent dismissal of the habeas petitions on the ground that 28 U.S.C.  2254 had not been satisfied because other types of state remedies might be available.
Held:
1. Section 2254 does not require petitioners to pursue alternative courses suggested by the Court of Appeals, since their availability was conjectural and, regardless of the remedy invoked, the state courts have not granted a hearing to state prisoners on the conditions of their confinement.
2. Petitioners were entitled to have their actions treated as claims for relief under the Civil Rights Acts, to which exhaustion requirements do not apply.
Certiorari granted; 439 F.2d 1331, reversed and remanded.

Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"Wilwording v. Swenson
No. 70-5308
Decided December 14, 1971
404 U.S. 249

Syllabus 
Petitioners' complaints relating to the condition of their confinement were held by the Missouri courts not to be cognizable by means of a petition for habeas corpus.  The Court of Appeals affirmed the District Court's subsequent dismissal of the habeas petitions on the ground that 28 U.S.C.  2254 had not been satisfied because other types of state remedies might be available.
Held:
1. Section 2254 does not require petitioners to pursue alternative courses suggested by the Court of Appeals, since their availability was conjectural and, regardless of the remedy invoked, the state courts have not granted a hearing to state prisoners on the conditions of their confinement.
2. Petitioners were entitled to have their actions treated as claims for relief under the Civil Rights Acts, to which exhaustion requirements do not apply.
Certiorari granted; 439 F.2d 1331, reversed and remanded."|
|404 u.s. 254|"O'Keefe v. Aerojet-General Shipyards, Inc.,
No. 71-262
Decided December 14, 1971
404 U.S. 254

Syllabus 
Section 22 of the Longshoremen's and Harbor Workers' Compensation Act, permitting a Labor Department Deputy Commissioner ""[u]pon his own initiative . . . because of a mistake in a determination of fact"" to review a longshoreman's compensation claim within one year after its rejection and issue a new or modified compensation order, held to authorize the Deputy Commissioner to correct factual errors revealed by wholly new or cumulative evidence or further reflection on initially submitted evidence.
Certiorari granted; 442 F.2d 508, reversed and remanded.

Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"O'Keefe v. Aerojet-General Shipyards, Inc.,
No. 71-262
Decided December 14, 1971
404 U.S. 254

Syllabus 
Section 22 of the Longshoremen's and Harbor Workers' Compensation Act, permitting a Labor Department Deputy Commissioner ""[u]pon his own initiative . . . because of a mistake in a determination of fact"" to review a longshoreman's compensation claim within one year after its rejection and issue a new or modified compensation order, held to authorize the Deputy Commissioner to correct factual errors revealed by wholly new or cumulative evidence or further reflection on initially submitted evidence.
Certiorari granted; 442 F.2d 508, reversed and remanded."|
