docket_nums|citations|opinions|syllabuses|summaries
|364 u.s. 507|"Reina v. United States
No. 29
Argued November 7-8, 1960
Decided December 19, 1960
364 U.S. 507

Syllabus 
While serving a sentence for a federal narcotics offense, petitioner was summoned before a federal grand jury and asked questions concerning his crime, particularly as to the persons involved with him and their activities in smuggling narcotics into this country from Europe.  He invoked his privilege against self-incrimination under the Fifth Amendment and refused to answer.  Acting pursuant to 18 U.S.C.  1406, which grants immunity from prosecution to a witness compelled to testify before a grand jury, the United States Attorney, with the approval of the Attorney General, obtained a court order directing petitioner to testify.  He again refused to do so, and was adjudged guilty of criminal contempt.
Held:  the conviction is sustained.  Pp.  364 U. S. 508-515.
1. The immunity provided by  1406 covers state, as well as federal, prosecutions.  P.  364 U. S. 510.
2. As so construed,  1406 is constitutional, since the grant of immunity from state prosecution is necessary and proper to the more effective execution of the undoubted power of Congress to enact the narcotics laws.  Pp.  364 U. S. 510-512.
3. The grant of immunity from future state and federal prosecution was at least coextensive with petitioner's constitutional privilege against self-incrimination, and it was not necessary that he be pardoned or granted amnesty covering the unserved portion of his sentence and his fine for the offense of which he had previously been convicted.  Pp.  364 U. S. 512-514.
4. Since the District Court provided that petitioner's sentence to two years' imprisonment for criminal contempt should be vacated if petitioner should purge himself of his contempt by appearing before the grand jury and answering the questions within 60 days from the date of the judgment, and this Court construes the 60-day period as running from the effective date of this Court's 
Page 364 U. S. 508
 mandate, it is not necessary to pass on the questions whether the sentence was excessive or whether the conviction was invalid because the District Court did not advise petitioner of the extent of the immunity conferred by  1406.  Pp.  364 U. S. 514-515.
273 F.2d 234, affirmed.

Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"Reina v. United States
No. 29
Argued November 7-8, 1960
Decided December 19, 1960
364 U.S. 507

Syllabus 
While serving a sentence for a federal narcotics offense, petitioner was summoned before a federal grand jury and asked questions concerning his crime, particularly as to the persons involved with him and their activities in smuggling narcotics into this country from Europe.  He invoked his privilege against self-incrimination under the Fifth Amendment and refused to answer.  Acting pursuant to 18 U.S.C.  1406, which grants immunity from prosecution to a witness compelled to testify before a grand jury, the United States Attorney, with the approval of the Attorney General, obtained a court order directing petitioner to testify.  He again refused to do so, and was adjudged guilty of criminal contempt.
Held:  the conviction is sustained.  Pp.  364 U. S. 508-515.
1. The immunity provided by  1406 covers state, as well as federal, prosecutions.  P.  364 U. S. 510.
2. As so construed,  1406 is constitutional, since the grant of immunity from state prosecution is necessary and proper to the more effective execution of the undoubted power of Congress to enact the narcotics laws.  Pp.  364 U. S. 510-512.
3. The grant of immunity from future state and federal prosecution was at least coextensive with petitioner's constitutional privilege against self-incrimination, and it was not necessary that he be pardoned or granted amnesty covering the unserved portion of his sentence and his fine for the offense of which he had previously been convicted.  Pp.  364 U. S. 512-514.
4. Since the District Court provided that petitioner's sentence to two years' imprisonment for criminal contempt should be vacated if petitioner should purge himself of his contempt by appearing before the grand jury and answering the questions within 60 days from the date of the judgment, and this Court construes the 60-day period as running from the effective date of this Court's 
Page 364 U. S. 508
 mandate, it is not necessary to pass on the questions whether the sentence was excessive or whether the conviction was invalid because the District Court did not advise petitioner of the extent of the immunity conferred by  1406.  Pp.  364 U. S. 514-515.
273 F.2d 234, affirmed."|
|364 u.s. 517|" ALLRED ET AL. v. HEATON ET AL.  APPEAL FROM THE COURT OF CIVIL APPEALS OF TEXAS, TENTH SUPREME JUDICIAL  DISTRICT. No. 518. Decided December 19, 1960.
 
 Appeal dismissed and certiorari denied.
 Reported below: 336 S. W. 2d 251.
 John M. Barron for appellants.
 Will Wilson, Attorney General of Texas, Leonard Passmore, First Assistant Attorney General, and John Reeves, Assistant Attorney General, for appellees.
 
 PER CURIAM.
 
 The motion to dismiss is granted and the appeal is dismissed. Treating the papers whereon the appeal was taken as a petition for certiorari, certiorari is denied.
 MR. JUSTICE DOUGLAS is of the opinion that further consideration of the question of jurisdiction should be postponed to the hearing of the case on the merits. 
Page 364 U.S. 517, 518

 


Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|" ALLRED ET AL. v. HEATON ET AL.  APPEAL FROM THE COURT OF CIVIL APPEALS OF TEXAS, TENTH SUPREME JUDICIAL  DISTRICT. No. 518. Decided December 19, 1960.
 
 Appeal dismissed and certiorari denied.
 Reported below: 336 S. W. 2d 251.
 John M. Barron for appellants.
 Will Wilson, Attorney General of Texas, Leonard Passmore, First Assistant Attorney General, and John Reeves, Assistant Attorney General, for appellees.
 
 PER CURIAM.
 
 The motion to dismiss is granted and the appeal is dismissed. Treating the papers whereon the appeal was taken as a petition for certiorari, certiorari is denied.
 MR. JUSTICE DOUGLAS is of the opinion that further consideration of the question of jurisdiction should be postponed to the hearing of the case on the merits. 
Page 364 U.S. 517, 518

 
"|
|364 u.s. 518|" WESTINGHOUSE BROADCASTING CO. v. UNITED STATES ET AL.  APPEAL FROM THE UNITED STATES DISTRICT COURT FOR THE EASTERN DISTRICT  OF PENNSYLVANIA. No. 484. Decided December 19, 1960.
 
 Appeal dismissed.
 Reported below: 186 F. Supp. 776.
 George B. Turner and Philip H. Strubing for appellant.
 Solicitor General Rankin, Assistant Attorney General Bicks, Richard A. Solomon and Bernard M. Hollander for the United States, and Bernard G. Segal, Samuel D. Slade, Robert L. Werner and Thomas E. Ervin for Radio Corporation of America and National Broadcasting Co., Inc., appellees.
 
 PER CURIAM.
 
 The motion to dismiss is granted and the appeal is dismissed.
 MR. JUSTICE BLACK and MR. JUSTICE DOUGLAS are of the opinion that probable jurisdiction should be noted.
 MR. JUSTICE FRANKFURTER is of the opinion that the motion to affirm should be granted. 
Page 364 U.S. 518, 519

 


Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|" WESTINGHOUSE BROADCASTING CO. v. UNITED STATES ET AL.  APPEAL FROM THE UNITED STATES DISTRICT COURT FOR THE EASTERN DISTRICT  OF PENNSYLVANIA. No. 484. Decided December 19, 1960.
 
 Appeal dismissed.
 Reported below: 186 F. Supp. 776.
 George B. Turner and Philip H. Strubing for appellant.
 Solicitor General Rankin, Assistant Attorney General Bicks, Richard A. Solomon and Bernard M. Hollander for the United States, and Bernard G. Segal, Samuel D. Slade, Robert L. Werner and Thomas E. Ervin for Radio Corporation of America and National Broadcasting Co., Inc., appellees.
 
 PER CURIAM.
 
 The motion to dismiss is granted and the appeal is dismissed.
 MR. JUSTICE BLACK and MR. JUSTICE DOUGLAS are of the opinion that probable jurisdiction should be noted.
 MR. JUSTICE FRANKFURTER is of the opinion that the motion to affirm should be granted. 
Page 364 U.S. 518, 519

 
"|
|364 u.s. 519|" ROBERTOY v. MICHIGAN.  APPEAL FROM THE SUPREME COURT OF MICHIGAN.  No. 308, Misc. Decided December 19, 1960.
 
 Appeal dismissed since the judgment below is based on a nonfederal ground adequate to support it.
 Petitioner pro se.
 Paul L. Adams, Attorney General of Michigan, and Samuel J. Torina, Solicitor General, for respondent.
 
 PER CURIAM.
 
 The appeal is dismissed for the reason that the judgment of the Supreme Court of Michigan, sought here to be reviewed, is based upon a nonfederal ground adequate to support it. 
Page 364 U.S. 519, 520

 


Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|" ROBERTOY v. MICHIGAN.  APPEAL FROM THE SUPREME COURT OF MICHIGAN.  No. 308, Misc. Decided December 19, 1960.
 
 Appeal dismissed since the judgment below is based on a nonfederal ground adequate to support it.
 Petitioner pro se.
 Paul L. Adams, Attorney General of Michigan, and Samuel J. Torina, Solicitor General, for respondent.
 
 PER CURIAM.
 
 The appeal is dismissed for the reason that the judgment of the Supreme Court of Michigan, sought here to be reviewed, is based upon a nonfederal ground adequate to support it. 
Page 364 U.S. 519, 520

 
"|
|364 u.s. 479|"Shelton v. Tucker
No. 14
Argued November 7, 1960
Decided December 12, 1960*
364 U.S. 479

Syllabus 
An Arkansas statute requires every teacher, as a condition of employment in a state supported school or college, to file annually an affidavit listing without limitation every organization to which he has belonged or regularly contributed within the preceding five years.  Teachers in state supported schools and colleges are not covered by a civil service system, they are hired on a year-to-year basis, and they have no job security beyond the end of each school year.  The contracts of the teachers here involved were not renewed, because they refused to file the required affidavits.
Held:  The statute is invalid, because it deprives teachers of their right of associational freedom protected by the Due Process Clause of the Fourteenth Amendment from invasion by state action.  Pp.  364 U. S. 480-490.
(a) There can be no doubt of the right of a State to investigate the competence and fitness of those whom it hires to teach in its schools.  P.  364 U. S. 485.
(b) To compel a teacher to disclose his every associational tie is to impair his right of free association, a right closely allied to freedom of speech and a right which, like free speech, lies at the foundation of a free society.  Pp.  364 U. S. 485-487.
(c) The unlimited and indiscriminate sweep of the statute here involved and its comprehensive interference with associational freedom go far beyond what might be justified in the exercise of the State's legitimate inquiry into the fitness and competence of its teachers.  Pp.  364 U. S. 487-490.
174 F.Supp. 351 and 231 Ark. 641, 331 S.W.2d 701, reversed. 
Page 364 U. S. 480


Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"Shelton v. Tucker
No. 14
Argued November 7, 1960
Decided December 12, 1960*
364 U.S. 479

Syllabus 
An Arkansas statute requires every teacher, as a condition of employment in a state supported school or college, to file annually an affidavit listing without limitation every organization to which he has belonged or regularly contributed within the preceding five years.  Teachers in state supported schools and colleges are not covered by a civil service system, they are hired on a year-to-year basis, and they have no job security beyond the end of each school year.  The contracts of the teachers here involved were not renewed, because they refused to file the required affidavits.
Held:  The statute is invalid, because it deprives teachers of their right of associational freedom protected by the Due Process Clause of the Fourteenth Amendment from invasion by state action.  Pp.  364 U. S. 480-490.
(a) There can be no doubt of the right of a State to investigate the competence and fitness of those whom it hires to teach in its schools.  P.  364 U. S. 485.
(b) To compel a teacher to disclose his every associational tie is to impair his right of free association, a right closely allied to freedom of speech and a right which, like free speech, lies at the foundation of a free society.  Pp.  364 U. S. 485-487.
(c) The unlimited and indiscriminate sweep of the statute here involved and its comprehensive interference with associational freedom go far beyond what might be justified in the exercise of the State's legitimate inquiry into the fitness and competence of its teachers.  Pp.  364 U. S. 487-490.
174 F.Supp. 351 and 231 Ark. 641, 331 S.W.2d 701, reversed. 
Page 364 U. S. 480
"|
|364 u.s. 500|"Bush v. Orleans Parish School Board,
Decided December 12, 1960*
364 U.S. 500

Syllabus 
A three-judge Federal District Court declared unconstitutional, and temporarily enjoined enforcement of, a series of enactments of the Louisiana Legislature designed to prevent partial desegregation of the races in certain public schools in New Orleans pursuant to an earlier federal court order.  It was contended, inter alia, that the State of Louisiana had ""interposed itself in the field of public education over which it has exclusive control,"" and motions were made for a stay of the injunction pending direct appeal to this Court.
Held:  this contention and others made in the motions are without substance, and the motions for stay are denied.

Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"Bush v. Orleans Parish School Board,
Decided December 12, 1960*
364 U.S. 500

Syllabus 
A three-judge Federal District Court declared unconstitutional, and temporarily enjoined enforcement of, a series of enactments of the Louisiana Legislature designed to prevent partial desegregation of the races in certain public schools in New Orleans pursuant to an earlier federal court order.  It was contended, inter alia, that the State of Louisiana had ""interposed itself in the field of public education over which it has exclusive control,"" and motions were made for a stay of the injunction pending direct appeal to this Court.
Held:  this contention and others made in the motions are without substance, and the motions for stay are denied."|
|364 u.s. 505|" DAVIS v. UNITED STATES.  ON PETITION FOR WRIT OF CERTIORARI TO THE UNITED STATES COURT OF  APPEALS FOR THE SEVENTH CIRCUIT. No. 456. Decided December 12, 1960.
 
 Certiorari granted and judgment reversed as to Counts I, II and III of the indictment, and case remanded for new trial on said counts.
 Reported below: 281 F.2d 93.
 George F. Callaghan and Julius Lucius Echeles for petitioner.
 Solicitor General Rankin, Assistant Attorney General Wilkey, Beatrice Rosenberg and Robert G. Maysack for the United States.
 
 PER CURIAM.
 
 Upon consideration of the entire record and the suggestion of the Solicitor General, the petition for writ of certiorari is granted limited to that part of the judgment concerned with Counts I, II, and III of the indictment, and that part of the judgment is reversed and the case is remanded to the District Court for a new trial on Counts I, II, and III. In all other respects the petition for writ of certiorari is denied. 
Page 364 U.S. 505, 506

 


Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|" DAVIS v. UNITED STATES.  ON PETITION FOR WRIT OF CERTIORARI TO THE UNITED STATES COURT OF  APPEALS FOR THE SEVENTH CIRCUIT. No. 456. Decided December 12, 1960.
 
 Certiorari granted and judgment reversed as to Counts I, II and III of the indictment, and case remanded for new trial on said counts.
 Reported below: 281 F.2d 93.
 George F. Callaghan and Julius Lucius Echeles for petitioner.
 Solicitor General Rankin, Assistant Attorney General Wilkey, Beatrice Rosenberg and Robert G. Maysack for the United States.
 
 PER CURIAM.
 
 Upon consideration of the entire record and the suggestion of the Solicitor General, the petition for writ of certiorari is granted limited to that part of the judgment concerned with Counts I, II, and III of the indictment, and that part of the judgment is reversed and the case is remanded to the District Court for a new trial on Counts I, II, and III. In all other respects the petition for writ of certiorari is denied. 
Page 364 U.S. 505, 506

 
"|
|364 u.s. 506|" KRUPA ET AL. v. FARMINGTON RIVER POWER CO.  APPEAL FROM THE SUPREME COURT OF ERRORS OF CONNECTICUT.  No. 403, Misc. Decided December 12, 1960.
 
 Appeal dismissed and certiorari denied.
 Reported below: 147 Conn. 153, 157 A. 2d 914.
 Thaddeus Maliszewski for appellants.
 
 PER CURIAM.
 
 The motion to dismiss is granted and the appeal is dismissed. Treating the papers whereon the appeal was taken as a petition for writ of certiorari, certiorari is denied. 
Page 364 U.S. 506, 507

 


Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|" KRUPA ET AL. v. FARMINGTON RIVER POWER CO.  APPEAL FROM THE SUPREME COURT OF ERRORS OF CONNECTICUT.  No. 403, Misc. Decided December 12, 1960.
 
 Appeal dismissed and certiorari denied.
 Reported below: 147 Conn. 153, 157 A. 2d 914.
 Thaddeus Maliszewski for appellants.
 
 PER CURIAM.
 
 The motion to dismiss is granted and the appeal is dismissed. Treating the papers whereon the appeal was taken as a petition for writ of certiorari, certiorari is denied. 
Page 364 U.S. 506, 507

 
"|
|364 u.s. 446|"Small Business Administration v. McClellan
No. 42
Argued November 9-10, 1960
Decided December 5, 1960
364 U.S. 446

Syllabus 
When the Small Business Administration, created by the Small Business Act of 1953, with authority, inter alia, to lend government funds to small businesses, has joined a private bank in making a loan and the borrower becomes a bankrupt, the Administration's interest in the unpaid balance of the loan is entitled to the priority provided for ""debts due to the United States"" under R.S.  3466 and  64 of the Bankruptcy Act -- even though the Administration has agreed to share with the bank any money collected on the loan.  Pp.  364 U. S. 447-453.
(a) The Small Business Administration is an integral part of the governmental mechanism -- not a separate legal entity -- and it is entitled to the priority of the United States in collecting loans made by it out of government funds.  Sloan Shipyards Corp. v. United States Fleet Corp., 258 U. S. 549, and Reconstruction Finance Corp. v. Menihan Corp., 312 U. S. 81, distinguished.  United States v. Remund, 330 U. S. 539, followed.  Pp.  364 U. S. 448-450.
(b) Since the Administration participated in making the loan and acquired a beneficial interest in it prior to the petition in bankruptcy, it is immaterial that formal assignment to the Administration of the note evidencing the debt was not made by the bank until after the filing of the petition.  P.  364 U. S. 450.
(c) The Administration did not forfeit its right to priority by agreeing to turn over to the bank part of any distribution obtained because of its priority.  Pp.  364 U. S. 451-453.
(d) Governmental priority in bankruptcy proceedings is not inconsistent with the basic purposes and provisions of the Small Business Act.  P. 453.
272 F.2d 143, reversed. 
Page 364 U. S. 447


Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"Small Business Administration v. McClellan
No. 42
Argued November 9-10, 1960
Decided December 5, 1960
364 U.S. 446

Syllabus 
When the Small Business Administration, created by the Small Business Act of 1953, with authority, inter alia, to lend government funds to small businesses, has joined a private bank in making a loan and the borrower becomes a bankrupt, the Administration's interest in the unpaid balance of the loan is entitled to the priority provided for ""debts due to the United States"" under R.S.  3466 and  64 of the Bankruptcy Act -- even though the Administration has agreed to share with the bank any money collected on the loan.  Pp.  364 U. S. 447-453.
(a) The Small Business Administration is an integral part of the governmental mechanism -- not a separate legal entity -- and it is entitled to the priority of the United States in collecting loans made by it out of government funds.  Sloan Shipyards Corp. v. United States Fleet Corp., 258 U. S. 549, and Reconstruction Finance Corp. v. Menihan Corp., 312 U. S. 81, distinguished.  United States v. Remund, 330 U. S. 539, followed.  Pp.  364 U. S. 448-450.
(b) Since the Administration participated in making the loan and acquired a beneficial interest in it prior to the petition in bankruptcy, it is immaterial that formal assignment to the Administration of the note evidencing the debt was not made by the bank until after the filing of the petition.  P.  364 U. S. 450.
(c) The Administration did not forfeit its right to priority by agreeing to turn over to the bank part of any distribution obtained because of its priority.  Pp.  364 U. S. 451-453.
(d) Governmental priority in bankruptcy proceedings is not inconsistent with the basic purposes and provisions of the Small Business Act.  P. 453.
272 F.2d 143, reversed. 
Page 364 U. S. 447
"|
||"Boynton v. Virginia
No. 7
Argued October 12, 1960
Decided December 5, 1960
364 U.S. 454

Syllabus 
For refusing to leave the section reserved for white people in a restaurant in a bus terminal, petitioner, a Negro interstate bus passenger, was convicted in Virginia courts of violating a state statute making it a misdemeanor for any person ""without authority of law"" to remain upon the premises of another after having been forbidden to do so.  On appeal, he contended that his conviction violated the Interstate Commerce Act and the Equal Protection, Due Process and Commerce Clauses of the Federal Constitution; but his conviction was sustained by the State Supreme Court.  On petition for certiorari to this Court, he raised only the constitutional questions.
Held:
1. Notwithstanding the fact that the petition for certiorari presented only the constitutional questions this Court will consider the statutory issue, which involves essentially the same problem -- racial discrimination in interstate commerce.  P.  364 U. S. 457.
2. Under  216(d) of the Interstate Commerce Act, which forbids any interstate common carrier by motor vehicle to subject any person to unjust discrimination, petitioner had a federal right to remain in the white portion of the restaurant, he was there ""under authority of law,"" and it was error to affirm his conviction.  Pp.  364 U. S. 457-463.
(a) When a bus carrier has volunteered to make terminal and restaurant facilities and services available to its interstate passengers as a regular part of their transportation, and the terminal and restaurant have acquiesced and cooperated in this undertaking, the terminal and restaurant must perform these services without discriminations prohibited by the Act.  Pp.  364 U. S. 457-461.
(b) Although the courts below made no findings of fact, the evidence in this case shows such a situation here.  Pp.  364 U. S. 461-463.
Reversed. 
Page 364 U. S. 455


Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"Boynton v. Virginia
No. 7
Argued October 12, 1960
Decided December 5, 1960
364 U.S. 454

Syllabus 
For refusing to leave the section reserved for white people in a restaurant in a bus terminal, petitioner, a Negro interstate bus passenger, was convicted in Virginia courts of violating a state statute making it a misdemeanor for any person ""without authority of law"" to remain upon the premises of another after having been forbidden to do so.  On appeal, he contended that his conviction violated the Interstate Commerce Act and the Equal Protection, Due Process and Commerce Clauses of the Federal Constitution; but his conviction was sustained by the State Supreme Court.  On petition for certiorari to this Court, he raised only the constitutional questions.
Held:
1. Notwithstanding the fact that the petition for certiorari presented only the constitutional questions this Court will consider the statutory issue, which involves essentially the same problem -- racial discrimination in interstate commerce.  P.  364 U. S. 457.
2. Under  216(d) of the Interstate Commerce Act, which forbids any interstate common carrier by motor vehicle to subject any person to unjust discrimination, petitioner had a federal right to remain in the white portion of the restaurant, he was there ""under authority of law,"" and it was error to affirm his conviction.  Pp.  364 U. S. 457-463.
(a) When a bus carrier has volunteered to make terminal and restaurant facilities and services available to its interstate passengers as a regular part of their transportation, and the terminal and restaurant have acquiesced and cooperated in this undertaking, the terminal and restaurant must perform these services without discriminations prohibited by the Act.  Pp.  364 U. S. 457-461.
(b) Although the courts below made no findings of fact, the evidence in this case shows such a situation here.  Pp.  364 U. S. 461-463.
Reversed. 
Page 364 U. S. 455
"|
