docket_nums|citations|opinions|syllabuses|summaries
02-682||"VERIZON COMMUNICATIONS INC. v. LAW OFFICES OF CURTIS V. TRINKO, LLP
certiorari to the united states court of appeals for the second circuit
No. 02682. Argued October 14, 2003Decided January 13, 2004
The Telecommunications Act of 1996 imposes upon an incumbent local exchange carrier (LEC) the obligation to share its telephone network with competitors, 47 U. S.C. 251(c), including the duty to provide access to individual network elements on an unbundled basis, see 251(c)(3).  New entrants, so-called competitive LECs, combine and resell these unbundled network elements (UNEs).  Petitioner Verizon Communications Inc., the incumbent LEC in New York State, has signed interconnection agreements with rivals such as AT&T, as 252 obliges it to do, detailing the terms on which it will make its network elements available.  Part of Verizons 251(c)(3) UNE obligation is the provision of access to operations support systems (OSS), without which a rival cannot fill its customers orders.  Verizons interconnection agreement, approved by the New York Public Service Commission (PSC), and its authorization to provide long-distance service, approved by the Federal Communications Commission (FCC), each specified the mechanics by which its OSS obligation would be met.  When competitive LECs complained that Verizon was violating that obligation, the PSC and FCC opened parallel investigations, which led to the imposition of financial penalties, remediation measures, and additional reporting requirements on Verizon.  Respondent, a local telephone service customer of AT&T, then filed this class action alleging, inter alia, that Verizon had filled rivals orders on a discriminatory basis as part of an anticompetitive scheme to discourage customers from becoming or remaining customers of competitive LECs in violation of 2 of the Sherman Act, 15 U. S.C. 2.  The District Court dismissed the complaint, concluding that respondents allegations of deficient assistance to rivals failed to satisfy 2s requirements.  The Second Circuit reinstated the antitrust claim.
Held:Respondents complaint alleging breach of an incumbent LECs 1996 Act duty to share its network with competitors does not state a claim under 2 of the Sherman Act.  Pp.516.
(a)The 1996 Act has no effect upon the application of traditional antitrust principles.  Its saving clausewhich provides that nothing in this Act  shall be construed to modify, impair, or supersede the applicability of any of the antitrust laws, 47 U. S.C. 152, notepreserves claims that satisfy established antitrust standards, but does not create new claims that go beyond those standards.  Pp.57.


(b)The activity of which respondent complains does not violate pre-existing antitrust standards.  The leading case imposing 2 liability for refusal to deal with competitors is Aspen Skiing Co. v. Aspen Highlands Skiing Corp., 472 U. S. 585, in which the Court concluded that the defendants termination of a voluntary agreement with the plaintiff suggested a willingness to forsake short-term profits to achieve an anticompetitive end.  Aspen is at or near the outer boundary of 2 liability, and the present case does not fit within the limited exception it recognized.  Because the complaint does not allege that Verizon ever engaged in a voluntary course of dealing with its rivals, its prior conduct sheds no light upon whether its lapses from the legally compelled dealing were anticompetitive.  Moreover, the Aspen defendant turned down its competitors proposal to sell at its own retail price, suggesting a calculation that its future monopoly retail price would be higher, whereas Verizons reluctance to interconnect at the cost-based rate of compensation available under 251(c)(3) is uninformative.  More fundamentally, the Aspen defendant refused to provide its competitor with a product it already sold at retail, whereas here the unbundled elements offered pursuant to 251(c)(3) are not available to the public, but are provided to rivals under compulsion and at considerable expense.  The Courts conclusion would not change even if it considered to be established law the essential facilities doctrine crafted by some lower courts.  The indispensable requirement for invoking that doctrine is the unavailability of access to the essential facilities; where access exists, as it does here by virtue of the 1996 Act, the doctrine serves no purpose.  Pp.711.


(c)Traditional antitrust principles do not justify adding the present case to the few existing exceptions from the proposition that there is no duty to aid competitors.  Antitrust analysis must always be attuned to the particular structure and circumstances of the industry at issue.  When there exists a regulatory structure designed to deter and remedy anticompetitive harm, the additional benefit to competition provided by antitrust enforcement will tend to be small, and it will be less plausible that the antitrust laws contemplate such additional scrutiny.  Here Verizon was subject to oversight by the FCC and the PSC, both of which agencies responded to the OSS failure raised in respondents complaint by imposing fines and other burdens on Verizon.  Against the slight benefits of antitrust intervention here must be weighed a realistic assessment of its costs.  Allegations of violations of 251(c)(3) duties are both technical and extremely numerous, and hence difficult for antitrust courts to evaluate.  Applying 2s requirements to this regime can readily result in false positive mistaken inferences that chill the very conduct the antitrust laws are designed to protect.  Matsushita Elec. Industrial Co. v. Zenith Radio Corp., 475 U. S. 574, 594.  Pp.1116.
305 F.3d 89, reversed and remanded.
Scalia, J., delivered the opinion of the Court, in which Rehnquist, C.J., and OConnor, Kennedy, Ginsburg, and Breyer, JJ., joined.  Stevens, J., filed an opinion concurring in the judgment, in which Souter and Thomas, JJ., joined.

Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"VERIZON COMMUNICATIONS INC. v. LAW OFFICES OF CURTIS V. TRINKO, LLP
certiorari to the united states court of appeals for the second circuit
No. 02682. Argued October 14, 2003Decided January 13, 2004
The Telecommunications Act of 1996 imposes upon an incumbent local exchange carrier (LEC) the obligation to share its telephone network with competitors, 47 U. S.C. 251(c), including the duty to provide access to individual network elements on an unbundled basis, see 251(c)(3).  New entrants, so-called competitive LECs, combine and resell these unbundled network elements (UNEs).  Petitioner Verizon Communications Inc., the incumbent LEC in New York State, has signed interconnection agreements with rivals such as AT&T, as 252 obliges it to do, detailing the terms on which it will make its network elements available.  Part of Verizons 251(c)(3) UNE obligation is the provision of access to operations support systems (OSS), without which a rival cannot fill its customers orders.  Verizons interconnection agreement, approved by the New York Public Service Commission (PSC), and its authorization to provide long-distance service, approved by the Federal Communications Commission (FCC), each specified the mechanics by which its OSS obligation would be met.  When competitive LECs complained that Verizon was violating that obligation, the PSC and FCC opened parallel investigations, which led to the imposition of financial penalties, remediation measures, and additional reporting requirements on Verizon.  Respondent, a local telephone service customer of AT&T, then filed this class action alleging, inter alia, that Verizon had filled rivals orders on a discriminatory basis as part of an anticompetitive scheme to discourage customers from becoming or remaining customers of competitive LECs in violation of 2 of the Sherman Act, 15 U. S.C. 2.  The District Court dismissed the complaint, concluding that respondents allegations of deficient assistance to rivals failed to satisfy 2s requirements.  The Second Circuit reinstated the antitrust claim.
Held:Respondents complaint alleging breach of an incumbent LECs 1996 Act duty to share its network with competitors does not state a claim under 2 of the Sherman Act.  Pp.516.
(a)The 1996 Act has no effect upon the application of traditional antitrust principles.  Its saving clausewhich provides that nothing in this Act  shall be construed to modify, impair, or supersede the applicability of any of the antitrust laws, 47 U. S.C. 152, notepreserves claims that satisfy established antitrust standards, but does not create new claims that go beyond those standards.  Pp.57.


(b)The activity of which respondent complains does not violate pre-existing antitrust standards.  The leading case imposing 2 liability for refusal to deal with competitors is Aspen Skiing Co. v. Aspen Highlands Skiing Corp., 472 U. S. 585, in which the Court concluded that the defendants termination of a voluntary agreement with the plaintiff suggested a willingness to forsake short-term profits to achieve an anticompetitive end.  Aspen is at or near the outer boundary of 2 liability, and the present case does not fit within the limited exception it recognized.  Because the complaint does not allege that Verizon ever engaged in a voluntary course of dealing with its rivals, its prior conduct sheds no light upon whether its lapses from the legally compelled dealing were anticompetitive.  Moreover, the Aspen defendant turned down its competitors proposal to sell at its own retail price, suggesting a calculation that its future monopoly retail price would be higher, whereas Verizons reluctance to interconnect at the cost-based rate of compensation available under 251(c)(3) is uninformative.  More fundamentally, the Aspen defendant refused to provide its competitor with a product it already sold at retail, whereas here the unbundled elements offered pursuant to 251(c)(3) are not available to the public, but are provided to rivals under compulsion and at considerable expense.  The Courts conclusion would not change even if it considered to be established law the essential facilities doctrine crafted by some lower courts.  The indispensable requirement for invoking that doctrine is the unavailability of access to the essential facilities; where access exists, as it does here by virtue of the 1996 Act, the doctrine serves no purpose.  Pp.711.


(c)Traditional antitrust principles do not justify adding the present case to the few existing exceptions from the proposition that there is no duty to aid competitors.  Antitrust analysis must always be attuned to the particular structure and circumstances of the industry at issue.  When there exists a regulatory structure designed to deter and remedy anticompetitive harm, the additional benefit to competition provided by antitrust enforcement will tend to be small, and it will be less plausible that the antitrust laws contemplate such additional scrutiny.  Here Verizon was subject to oversight by the FCC and the PSC, both of which agencies responded to the OSS failure raised in respondents complaint by imposing fines and other burdens on Verizon.  Against the slight benefits of antitrust intervention here must be weighed a realistic assessment of its costs.  Allegations of violations of 251(c)(3) duties are both technical and extremely numerous, and hence difficult for antitrust courts to evaluate.  Applying 2s requirements to this regime can readily result in false positive mistaken inferences that chill the very conduct the antitrust laws are designed to protect.  Matsushita Elec. Industrial Co. v. Zenith Radio Corp., 475 U. S. 574, 594.  Pp.1116.
305 F.3d 89, reversed and remanded.
Scalia, J., delivered the opinion of the Court, in which Rehnquist, C.J., and OConnor, Kennedy, Ginsburg, and Breyer, JJ., joined.  Stevens, J., filed an opinion concurring in the judgment, in which Souter and Thomas, JJ., joined."|
|540 u.s. 366|"MARYLAND v. PRINGLE
certiorari to the court of appeals of maryland
No. 02809. Argued November 3, 2003Decided December 15, 2003
A police officer stopped a car for speeding at 3:16 a.m.; searched the car, seizing $763 from the glove compartment and cocaine from behind the back-seat armrest; and arrested the cars three occupants after they denied ownership of the drugs and money.  Respondent Pringle, the front-seat passenger, was convicted of possession with intent to distribute cocaine and possession of cocaine, and was sentenced to 10 years incarceration without the possibility of parole.  The Maryland Court of Special Appeals affirmed, but the State Court of Appeals reversed, holding that, absent specific facts tending to show Pringles knowledge and dominion or control over the drugs, the mere finding of cocaine in the back armrest when Pringle was a front-seat passenger in a car being driven by its owner was insufficient to establish probable cause for an arrest for possession.
Held:Because the officer had probable cause to arrest Pringle, the arrest did not contravene the Fourth and Fourteenth Amendments.  Maryland law authorizes police officers to execute warrantless arrests, inter alia, where the officer has probable cause to believe that a felony has been committed or is being committed in the officers presence.  Here, it is uncontested that the officer, upon recovering the suspected cocaine, had probable cause to believe a felony had been committed; the question is whether he had probable cause to believe Pringle committed that crime.  The substance of all the definitions of probable cause is a reasonable ground for belief of guilt, Brinegar v. United States, 338 U. S. 160, 175, and that belief must be particularized with respect to the person to be searched or seized, Ybarra v. Illinois, 444 U. S. 85, 91.  To determine whether an officer had probable cause to make an arrest, a court must examine the events leading up to the arrest, and then decide whether these historical facts, viewed from the standpoint of an objectively reasonable police officer, amount to probable cause.  Ornelas v. United States, 517 U. S. 690, 696.  As it is an entirely reasonable inference from the facts here that any or all of the cars occupants had knowledge of, and exercised dominion and control over, the cocaine, a reasonable officer could conclude that there was probable cause to believe Pringle committed the crime of possession of cocaine, either solely or jointly.  Pringles attempt to characterize this as a guilt-by-association case is unavailing.  Ybarra v. Illinois, supra, and United States v. Di Re, 332 U. S. 581, distinguished.  Pp. 38.
370 Md. 525, 805 A.2d 1016, reversed and remanded.
Rehnquist, C.J., delivered the opinion for a unanimous Court.

Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"MARYLAND v. PRINGLE
certiorari to the court of appeals of maryland
No. 02809. Argued November 3, 2003Decided December 15, 2003
A police officer stopped a car for speeding at 3:16 a.m.; searched the car, seizing $763 from the glove compartment and cocaine from behind the back-seat armrest; and arrested the cars three occupants after they denied ownership of the drugs and money.  Respondent Pringle, the front-seat passenger, was convicted of possession with intent to distribute cocaine and possession of cocaine, and was sentenced to 10 years incarceration without the possibility of parole.  The Maryland Court of Special Appeals affirmed, but the State Court of Appeals reversed, holding that, absent specific facts tending to show Pringles knowledge and dominion or control over the drugs, the mere finding of cocaine in the back armrest when Pringle was a front-seat passenger in a car being driven by its owner was insufficient to establish probable cause for an arrest for possession.
Held:Because the officer had probable cause to arrest Pringle, the arrest did not contravene the Fourth and Fourteenth Amendments.  Maryland law authorizes police officers to execute warrantless arrests, inter alia, where the officer has probable cause to believe that a felony has been committed or is being committed in the officers presence.  Here, it is uncontested that the officer, upon recovering the suspected cocaine, had probable cause to believe a felony had been committed; the question is whether he had probable cause to believe Pringle committed that crime.  The substance of all the definitions of probable cause is a reasonable ground for belief of guilt, Brinegar v. United States, 338 U. S. 160, 175, and that belief must be particularized with respect to the person to be searched or seized, Ybarra v. Illinois, 444 U. S. 85, 91.  To determine whether an officer had probable cause to make an arrest, a court must examine the events leading up to the arrest, and then decide whether these historical facts, viewed from the standpoint of an objectively reasonable police officer, amount to probable cause.  Ornelas v. United States, 517 U. S. 690, 696.  As it is an entirely reasonable inference from the facts here that any or all of the cars occupants had knowledge of, and exercised dominion and control over, the cocaine, a reasonable officer could conclude that there was probable cause to believe Pringle committed the crime of possession of cocaine, either solely or jointly.  Pringles attempt to characterize this as a guilt-by-association case is unavailing.  Ybarra v. Illinois, supra, and United States v. Di Re, 332 U. S. 581, distinguished.  Pp. 38.
370 Md. 525, 805 A.2d 1016, reversed and remanded.
Rehnquist, C.J., delivered the opinion for a unanimous Court."|
|540 u.s. 375|"CASTRO v. UNITED STATES
certiorari to the united states court of appeals for the eleventh circuit
No. 026683. Argued October 15, 2003Decided December 15, 2003
In 1994, petitioner Castro attacked his federal drug conviction in a pro se motion for a new trial pursuant to Federal Rule of Criminal Procedure 33.  The Government responded that the claims were more cognizable as federal habeas claims under 28 U. S.C. 2255.  The District Court denied Castros motion on the merits, referring to it as both a Rule 33 and a 2255 motion.  Castro did not challenge this recharacterization of his motion on his pro se appeal, and the Eleventh Circuit summarily affirmed.  In 1997, Castro, again pro se, filed a 2255 motion raising, inter alia, a new claim for ineffective assistance of counsel.  The District Court denied the motion, but the Eleventh Circuit remanded for the District Court to consider, among other things, whether this was Castros second 2255 motion.  The District Court appointed counsel, determined that the 1997 motion was indeed Castros second 2255 motion (the 1994 motion being his first), and dismissed the motion for failure to comply with 2255s requirement that Castro obtain the Court of Appeals permission to file a second or successive motion.  The Eleventh Circuit affirmed.
Held:
1.This Courts review of Castros claim is not barred by the requirement that the grant or denial of an authorization by a court of appeals to file a second or successive application  shall not be the subject of a [certiorari] petition, 28 U. S.C. 2244(b)(3)(E).  Castro nowhere asked the Eleventh Circuit to grant, and it nowhere denied, such authorization.  Contrary to the Governments position, the courts statement that Castros petition could not meet the requirements for second or successive petitions cannot be taken as a statutorily relevant denial of an authorization request not made.  Even accepting the Governments characterization, the argument would founder because the certiorari petitions subject is not the Eleventh Circuits authorization denial, but the lower courts refusal to recognize that this 2255 motion is Castros first.  Moreover, reading the statute as the Government suggests would create procedural anomalies, allowing review where the lower court decision disfavors, but denying review where it favors, the Government; would close this Courts doors to a class of habeas petitioners without any clear indication that such was Congress intent; and would be difficult to reconcile with the principle that this Court reads limitations on its jurisdiction narrowly.  Pp.35.


2.A federal court cannot recharacterize a pro se litigants motion as a first 2255 motion unless it first informs the litigant of its intent to recharacterize, warns the litigant that this recharacterization means that any subsequent 2255 motion will be subject to the restrictions on second or successive motions, and provides the litigant an opportunity to withdraw the motion or to amend it so that it contains all the 2255 claims he believes he has.  If these warnings are not given, the motion cannot be considered to have become a 2255 motion for purposes of applying to later motions the laws second or successive restrictions.  Nine Circuits have placed such limits on recharacterization, and no one here contests the lawfulness of this judicially created requirement.  Pp.57.


3.Because the District Court failed to give the prescribed warnings, Castros 1994 motion cannot be considered a first 2255 motion and his 1997 motion cannot be considered a second or successive one.  The Government argues that Castros failure to appeal the 1994 recharacterization makes the recharacterization valid as a matter of law of the case.  And, according to the Government, since the 1994 recharacterization is valid, the 1997 2255 motion is Castros second, not his first.  This Court disagrees.  The point of a warning is to help the pro se litigant understand not only (1) whether he should withdraw or amend his motion, but also (2) whether he should contest the recharacterization, say, on appeal.  The lack of warning prevents his making an informed judgment as to both.  The failure to appeal simply underscores the practical importance of providing the warning.  Hence, an unwarned recharacterization cannot count as a 2255 motion for purposes of the second or successive provision whether or not the unwarned pro se litigant takes an appeal.  Even assuming that the law of the case doctrine applies here, the doctrine simply expresses common judicial practice; it does not limit the courts power.  Pp.79.
290 F.3d 1270, vacated and remanded.
Breyer, J., delivered the opinion of the Court, in which Rehnquist, C.J., and Stevens, OConnor, Kennedy, Souter, and Ginsburg, JJ., joined, and in which Scalia and Thomas, JJ., joined with respect to Parts I and II.  Scalia, J., filed an opinion concurring in part and concurring in the judgment, in which Thomas, J., joined.

Disclaimer: Official Supreme Court case law is only found in the print version of the United States Reports. Justia case law is provided for general informational purposes only, and may not reflect current legal developments, verdicts or settlements. We make no warranties or guarantees about the accuracy, completeness, or adequacy of the information contained on this site or information linked to from this site. Please check official sources.
			"|"CASTRO v. UNITED STATES
certiorari to the united states court of appeals for the eleventh circuit
No. 026683. Argued October 15, 2003Decided December 15, 2003
In 1994, petitioner Castro attacked his federal drug conviction in a pro se motion for a new trial pursuant to Federal Rule of Criminal Procedure 33.  The Government responded that the claims were more cognizable as federal habeas claims under 28 U. S.C. 2255.  The District Court denied Castros motion on the merits, referring to it as both a Rule 33 and a 2255 motion.  Castro did not challenge this recharacterization of his motion on his pro se appeal, and the Eleventh Circuit summarily affirmed.  In 1997, Castro, again pro se, filed a 2255 motion raising, inter alia, a new claim for ineffective assistance of counsel.  The District Court denied the motion, but the Eleventh Circuit remanded for the District Court to consider, among other things, whether this was Castros second 2255 motion.  The District Court appointed counsel, determined that the 1997 motion was indeed Castros second 2255 motion (the 1994 motion being his first), and dismissed the motion for failure to comply with 2255s requirement that Castro obtain the Court of Appeals permission to file a second or successive motion.  The Eleventh Circuit affirmed.
Held:
1.This Courts review of Castros claim is not barred by the requirement that the grant or denial of an authorization by a court of appeals to file a second or successive application  shall not be the subject of a [certiorari] petition, 28 U. S.C. 2244(b)(3)(E).  Castro nowhere asked the Eleventh Circuit to grant, and it nowhere denied, such authorization.  Contrary to the Governments position, the courts statement that Castros petition could not meet the requirements for second or successive petitions cannot be taken as a statutorily relevant denial of an authorization request not made.  Even accepting the Governments characterization, the argument would founder because the certiorari petitions subject is not the Eleventh Circuits authorization denial, but the lower courts refusal to recognize that this 2255 motion is Castros first.  Moreover, reading the statute as the Government suggests would create procedural anomalies, allowing review where the lower court decision disfavors, but denying review where it favors, the Government; would close this Courts doors to a class of habeas petitioners without any clear indication that such was Congress intent; and would be difficult to reconcile with the principle that this Court reads limitations on its jurisdiction narrowly.  Pp.35.


2.A federal court cannot recharacterize a pro se litigants motion as a first 2255 motion unless it first informs the litigant of its intent to recharacterize, warns the litigant that this recharacterization means that any subsequent 2255 motion will be subject to the restrictions on second or successive motions, and provides the litigant an opportunity to withdraw the motion or to amend it so that it contains all the 2255 claims he believes he has.  If these warnings are not given, the motion cannot be considered to have become a 2255 motion for purposes of applying to later motions the laws second or successive restrictions.  Nine Circuits have placed such limits on recharacterization, and no one here contests the lawfulness of this judicially created requirement.  Pp.57.


3.Because the District Court failed to give the prescribed warnings, Castros 1994 motion cannot be considered a first 2255 motion and his 1997 motion cannot be considered a second or successive one.  The Government argues that Castros failure to appeal the 1994 recharacterization makes the recharacterization valid as a matter of law of the case.  And, according to the Government, since the 1994 recharacterization is valid, the 1997 2255 motion is Castros second, not his first.  This Court disagrees.  The point of a warning is to help the pro se litigant understand not only (1) whether he should withdraw or amend his motion, but also (2) whether he should contest the recharacterization, say, on appeal.  The lack of warning prevents his making an informed judgment as to both.  The failure to appeal simply underscores the practical importance of providing the warning.  Hence, an unwarned recharacterization cannot count as a 2255 motion for purposes of the second or successive provision whether or not the unwarned pro se litigant takes an appeal.  Even assuming that the law of the case doctrine applies here, the doctrine simply expresses common judicial practice; it does not limit the courts power.  Pp.79.
290 F.3d 1270, vacated and remanded.
Breyer, J., delivered the opinion of the Court, in which Rehnquist, C.J., and Stevens, OConnor, Kennedy, Souter, and Ginsburg, JJ., joined, and in which Scalia and Thomas, JJ., joined with respect to Parts I and II.  Scalia, J., filed an opinion concurring in part and concurring in the judgment, in which Thomas, J., joined."|
