Ryburn v. Huff, 11-208| 11-208|In an action under 42 USC section 1983 alleging that police officers violated the plaintiffs’ Fourth Amendment rights by entering their home without a warrant, the judgment of the Ninth Circuit disagreeing with the district court’s conclusion that petitioners were entitled to qualified immunity is reversed, where reasonable police officers could have come to the conclusion that the Fourth Amendment permitted them to enter the plaintiffs' residence if there was an objectively reasonable basis for fearing that violence was imminent, and a reasonable officer could have come to such a conclusion based on the facts as found by the district court.
Reynolds v. US, 10-6549| 10-6549|In a prosecution for failure to register as a sex offender under the federal Sex Offender Registration and Notification Act in which the Third Circuit concluded that the Act’s registration requirements applied to pre-Act offenders even in the absence of a rule by the Attorney General, judgment is reversed, as the Act’s registration requirements do not apply to pre-Act offenders until the Attorney General so specifies, so that whether an interim rule promulgated by the Attorney General set forth a valid specification was a relevant issue.
US v. Jones, 10-1259| 10-1259|In a prosecution for conspiracy to distribute and possess with intent to distribute cocaine and cocaine base, the judgment of the Court of Appeals for the D.C. Circuit overturning conviction is affirmed, as: 1) the government’s attachment of a global-positioning system (GPS) device to a vehicle, and its use of that device to monitor the vehicle’s movements, constitutes a search under the Fourth Amendment; and 2) the government forfeited the argument that the search of the vehicle in this case was reasonable.
National Meat Association v. Harris, 10-224| 10-224|In a suit by a trade association representing meatpackers and processors to enjoin enforcement of a California statute affecting swine slaughterhouses, judgment of the Ninth Circuit is reversed and the case remanded for entry of an injunction, where the Federal Meat Inspection Act (FMIA) expressly preempts the California statute because the FMIA regulates slaughterhouses’ handling and treatment of nonambulatory pigs from the moment of their delivery through the end of the meat production process, and the California statute endeavors to regulate the same thing, at the same time, in the same place, except by imposing different requirements.
Perry v. Perez, 11-713| 11-713|In cases challenging redistricting plans in Texas for race discrimination under the federal Constitution and section 2 of the Voting Rights Act, orders of the United States District Court for the Western District of Texas implementing interim electoral district maps for the 2012 Texas elections are vacated and cases are remanded for further proceedings, where the district court erred to the extent it exceeded its mission to draw interim maps that do not violate the Constitution or the Voting Rights Act, and substituted its own concept of the collective public good for the Texas Legislature’s determination of which policies serve the interests of the citizens of Texas.
Maples v. Thomas, 10-63| 10-63|Judgment denying a state prisoner's petition for federal habeas corpus relief is reversed and the case is remanded, where: 1) there was cause to excuse prisoner's procedural default in failing to timely file an appeal of the denial of his petition for postconviction relief in state court, where through no fault of his own, he lost the assistance of any authorized attorney during the appeal period and he had no reason to suspect that he had been reduced to pro se status; and 2) neither the district court nor the Eleventh Circuit reached the question of prejudice, so that it remained open for decision on remand.
Golan v. Holder, 10-545| 10-545|In a suit by orchestra conductors, musicians, publishers, and others who formerly enjoyed free access to literary and artistic works removed from the public domain by section 514 of the Uruguay Round Agreements Act, the Tenth Circuit's reversal of a grant of summary judgment to the plaintiffs is affirmed, as: 1) section 514 does not exceed Congress’s authority under the Copyright Clause; and 2) the First Amendment does not inhibit the restoration of foreign works to copyright protection by section 514.
Mims v. Arrow Financial Services, LLC, 10-1195| 10-1195|In a damages action brought in federal district court, alleging that the respondent, seeking to collect a debt, violated the Telephone Consumer Protection Act of 1991 (TCPA) by repeatedly using an automatic telephone dialing system or prerecorded or artificial voice to call the plaintiff’s cellular phone without his consent, the dismissal of the complaint for want of subject-matter jurisdiction is reversed, as the claim arose under federal law, and the TCPA's permissive grant of jurisdiction to state courts does not deprive the US district courts of federal-question jurisdiction under 28 USC section 1331.
Pacific Operators Offshore, LLP v. Valladolid, 10-507| 10-507|In an appeal from a judgment of the appeals court vacating an administrative dismissal of respondent's Outer Continental Shelf Lands Act (OCSLA) claim for benefits as a surviving spouse, judgment is affirmed where a claimant seeking benefits under the OCSLA must establish a substantial nexus between the injury and extractive operations on the shelf.
Perry v. New Hampshire, 10-8974| 10-8974|In an appeal from a judgment of the State Supreme Court upholding the conviction of defendant for theft by unauthorized taking, judgment is affirmed where the Due Process Clause does not require a preliminary judicial inquiry into the reliability of an eyewitness identification when the identification was not procured under unnecessarily suggestive circumstances arranged by law enforcement.
Hosanna-Tabor Evangelical Lutheran Church and School v. EEOC, 10-553| 10-553|"In an appeal from a judgment of the appeals court vacating the trial court's dismissal of plaintiff's ADA action on the grounds that the defendant was shielded by the ""ministerial exception,"" judgment is reversed where: 1) the ministerial exception, derived from the First Amendment, bars employment discrimination suits brought on behalf of ministers against their churches; and 2) plaintiff was a minister within the meaning of the exception."
Smith v. Cain, 10-8145| 10-8145|In an appeal from the denial of habeas relief from defendant's conviction for first-degree murder, judgment is reversed where the prosecutor's failure to disclose contradictory statements of the sole eyewitness, whose testimony formed the basis of defendant's conviction, was a Brady violation because the statements are material where there is a reasonable probability that, had the evidence been disclosed, the result of the proceeding would have been different.
CompuCredit Corp. v. Greenwood, 10-948| 10-948|In an appeal from the judgment of the appeals court upholding the trial court's denial of petitioner's motion to compel arbitration of respondents' Credit Repair Organizations Act (CROA) action under an arbitration provision, judgment is reversed where, because the CROA is silent on whether such claims can proceed in an arbitrable forum, the Federal Arbitration Act (FAA) requires that the arbitration agreement to be enforced.
Minneci v. Pollard, 10-1104| 10-1104|In an appeal from a judgment of the appeals court vacating the trial court's dismissal of petitioner's Bivens claim against employees at a privately run federal prison in California for deprivation of adequate medical care, judgment is reversed where, on the circumstances of the case, no Bivens remedy can be implied because state tort law authorizes adequate alternative damages action, thus providing both significant deterrence and compensation.
Gonzalez v. Thaler, 10-895| 10-895|In an appeal from a judgment of the appeals court upholding the trial court's dismissal of petitioner's AEDPA petition for habeas relief as time-barred, judgment is affirmed where 28 U.S.C. section 2253(c)(3) is a mandatory but nonjurisdictional rule and because, for purposes of Section 2244(d)(1)(A), judgment becomes final on the date that the time for seeking such review expires.
Kurns v. Railroad Friction Products Corp., 10-879| 10-879|In a design-defect and failure-to-warn suit by the estate of a man who had mesothelioma allegedly from his exposure to asbestos in locomotives and locomotive parts distributed by the respondents, summary judgment to the respondents is affirmed, where the state-law claims fell within the field of locomotive equipment regulation pre-empted by the federal Locomotive Inspection Act, as that field was defined in Napier v. Atlantic Coast Line R. Co., 272 U.S. 605.
Messerschmidt v. Millender, 10-704| 10-704|In a suit under 42 USC section 1983 alleging that the plaintiffs were subjected to an unreasonable search in violation of the Fourth Amendment because the warrant authorizing the search of their home was not supported by probable cause, the Ninth Circuit's denial of qualified immunity to defendant police officers is reversed, where: 1) an officer could reasonably have believed that the scope of the warrant was supported by probable cause; and 2) any arguable defect would have become apparent only upon a close parsing of the warrant application and a comparison of the supporting affidavit to the terms of the warrant to determine whether the affidavit established probable cause to search for all the items listed in the warrant.
PPL Montana, LLC v. Montana, 10-218| 10-218|In a suit by power companies claiming that the state of Montana was barred from seeking compensation for their use of riverbeds, in which Montana counterclaimed contending that under the equal-footing doctrine it owns the riverbeds and can charge rent for their use, summary judgment in favor of Montana as to navigability for purposes of determining riverbed title is reversed, where: 1) the Montana Supreme Court erred in its treatment of the question of river segments and portage; and 2) the Montana Supreme Court erred as a matter of law in relying on evidence of present-day, primarily recreational use of the Madison River.
Douglas v. Independent Living Center of Southern California, Inc., 09-958| 09-958|In consolidated cases challenging statutory Medicaid rate reductions by the state of California that were approved by the Centers for Medicare and Medicaid Services (CMS), judgments of the Ninth Circuit are vacated and the cases are remanded to permit the parties to argue before the Ninth Circuit in the first instance the question whether the respondents may maintain Supremacy Clause actions, where the CMS approval may require the respondents to seek review under the Administrative Procedure Act (APA) rather than in a Supremacy Clause action against California.
Kawashima v. Holder, 10-577| 10-577|"In removal proceedings against resident aliens who were convicted of willfully making and subscribing a false tax return under 26 USC section 7206(1) and aiding and assisting in the preparation of a false tax return under 26 USC section 7206(2), the orders of removal are affirmed, as violations of sections 7206(1) and (2) are crimes ""involv[ing] fraud or deceit"" under 8 USC section 1101(a)(43)(M)(i) and are therefore aggravated felonies subjecting the respondents to removal when the loss to the government exceeds $10,000."
Marmet Health Care Center, Inc. v. Brown, 11-391| 11-391|In litigation involving three negligence suits against nursing homes in West Virginia, the judgment of the Supreme Court of Appeals of West Virginia is vacated and the cases remanded, where: 1) West Virginia's prohibition against predispute agreements to arbitrate personal-injury or wrongful-death claims against nursing homes is a categorical rule prohibiting arbitration of a particular type of claim, and that rule is contrary to the terms and coverage of the Federal Arbitration Act; and 2) it was unclear to what degree the state court’s alternative holding--that the particular arbitration clauses at issue were unconscionable--was influenced by the invalid, categorical rule that the state court adopted.
Howes v. Fields, 10-680| 10-680|On petition for habeas corpus challenging the admissibility of a confession given while the prisoner was questioned by corrections officers within a prison, the Sixth Circuit's granting of habeas relief is reversed, where: 1) there is no categorical rule that isolation from the general prison population, combined with questioning about conduct occurring outside the prison, makes any such interrogation custodial per se; and 2) under the circumstances, the respondent was not taken into custody for Miranda purposes, so his confession was admissible.
Wetzel v. Lambert, 11-38| 11-38|"On petition for habeas corpus claiming, inter alia, that the state's failure to disclose a ""police activity sheet"" violated his rights under Brady v. Maryland, 373 U. S. 83 (1963), the Third Circuit's grant of the writ is vacated, where the state court ruling that the document contained ambiguous and speculative references could be reasonable."
Setser v. US, 10-7387| 10-7387|In a case in which the federal district court imposed a 151-month sentence on a drug charge, to run consecutively to any state sentence imposed for a probation violation, but concurrently with any state sentence imposed on the drug charge, the Fifth Circuit's upholding of the sentence is affirmed, where: 1) the district court had discretion to order that the defendant's federal sentence run consecutively to his anticipated state sentence for the probation violation, rather than the Bureau of Prisons after the federal sentence had been imposed; and 2) the state court's subsequent decision to make the state sentences run concurrently did not establish that the federal district court imposed an unreasonable sentence.
