Thompson v. N. Am. Stainless, LP, 09–291| 09–291|In an action brought under Title VII of the Civil Rights Act by a man claiming he was fired by his employer in retaliation for his fiancee's filing of an EEOC complaint against the same employer, the Sixth Circuit's affirmance of District Court's grant of summary judgment in favor of employer are reversed and remanded where: 1) if the facts the worker alleges are true, his firing constituted unlawful retaliation; and 2) Title VII grants worker a cause of action.
Chase Bank USA, N. A. v. McCoy, 09–329| 09–329|In a suit by a credit card holder, alleging that Chase increased his interest rate due to his delinquency or default and applied that increase retroactively, and that this action violated Regulation Z because Chase did not notify him of the increase until after it had taken effect, the Ninth Circuit's decision in favor of credit card holder is reversed and remanded where, at the time of the transactions at issue, Regulation Z did not require Chase to provide him with a change-in-terms notice before implementing the agreement term allowing it to raise his interest rate, up to a pre-set maximum, following delinquency or default.
Swarthout v. Cooke, 10–333| 10–333|"The Ninth Circuit's grant of habeas relief, based on its conclusion that the state courts had misapplied California's ""some evidence"" rule, is reversed where: 1) a federal court may issue a writ of habeas corpus to a state prisoner only on the ground that he is in custody in violation of the Constitution or laws or treaties of the United States; and 2) there is no U.S. Supreme Court precedent supports converting California's ""some evidence"" rule into a substantive federal requirement."
Ortiz v. Jordan, 09–737| 09–737|In a former inmate's civil rights action under 42 U. S. C. section 1983 seeking a judgment for damages against superintending prison officers for sexual assaults by a corrections officer, the Sixth Circuit's post-verdict decision in favor of prison officials on previously-denied summary judgment arguments of qualified immunity is reversed and remanded where a party may not appeal a denial of summary judgment after a district court has conducted a full trial on the merits.
NASA v. Nelson, 09–530| 09–530|In an action claiming that NASA's National Agency Check with Inquiries background check process violated a constitutional right to informational privacy, the Ninth Circuit's reversal of the district court's denial of a preliminary injunction is reversed where, assuming, without deciding, that the government’s challenged inquiries implicated a privacy interest of constitutional significance, that interest, whatever its scope, did not prevent the government from asking reasonable questions of the sort included on the forms at issue in an employment background investigation that was subject to the Privacy Act’s safeguards against public disclosure.
Premo v. Moore, 09–658| 09–658|In a felony murder prosecution, the Ninth Circuit's reversal of the district court's denial of petitioner's habeas petition is reversed where: 1) the state court would not have been unreasonable to accept as a justification for counsel’s action that suppression of petitioner's confession would have been futile in light of petitioner's other admissible confession to two witnesses; and 2) the state court also reasonably could have concluded that petitioner was not prejudiced by counsel's actions.
Harrington v. Richter, 09–587| 09–587|In a murder prosecution, the Ninth Circuit's reversal of the denial of petitioner's habeas petition is reversed where: 1) 28 U.S.C. section 2254(d) applied to petitioner's petition, even though the state court's order was unaccompanied by an opinion explaining the court’s reasoning; and 2) the Ninth Circuit erred in holding that, because petitioner's attorney had not consulted forensic blood experts or introduced expert evidence, the State Supreme Court could not reasonably have concluded counsel provided adequate representation.
Mayo Found. for Med. Educ. & Rsrch. v. US, 09–837| 09–837|In an action asserting that certain Treasury Department regulations, which provided that the services of a full-time employee -- which included an employee normally scheduled to work 40 hours or more per week-- were not incident to and for the purpose of pursuing a course of study, and thus not exempt from the Federal Insurance Contributions Act, were invalid, the Eighth Circuit's order reversing judgment for plaintiff is affirmed where the Treasury Department's full-time employee rule was a reasonable construction of 26 U.S.C. section 3121(b)(10).
Ransom v. FIA Card Servs., N.A., 09–907| 09–907|In a petition for Chapter 13 bankruptcy relief, the Ninth Circuit's affirmance of the Bankruptcy Appellate Panel's order denying the confirmation of the debtor's proposed plan is affirmed where a debtor who does not make loan or lease payments may not take the car-ownership deduction.
Madison Cty. v. Oneida Indian Nation of N.Y., 10–72| 10–72|"In an action concerning an Indian tribe's collection of property taxes, the Supreme Court vacated a grant of certiorari and remanded to the Second Circuit where that court needed to address, in the first instance, whether to revisit its ruling on sovereign immunity in light of new factual developments, and -- if necessary -- proceed to address other questions in the  case consistent with its
sovereign immunity ruling."
