Wisconsin Right to Life, Inc. v. Fed. Election Comm'n, 04-1581|04-1581|"Dismissal of a complaint for declaratory and injunctive relief involving the consitutionality of certain restrictions placed on plaintiff's advertising by the Bipartisan Campaign Reform Act of 2002 is vacated for reconsideration of plaintiff's ""as-applied"" challenge in the first instance."
Alaska v. US, 128|128|A proposed decree prepared by the parties is approved regarding a bill of complaint to quiet title relating to certain marine submerged lands in Southeast Alaska.
Unitherm Food Sys., Inc. v. Swift-Eckrich, Inc., 04-597|04-597|Grant of a new trial pursuant to a review for sufficiency of the evidence in an antitrust case is vacated where defendant failed to renew its preverdict motion for a directed verdict as specified in Federal Rule of Civil Procedure 50(b), and thus, the circuit court had no basis for reviewing defendant's sufficiency of the evidence challenge.
Cent. Virginia Cmty. Coll. v. Katz, 04-885|04-885|"A bankruptcy trustee's proceeding to set aside the debtor's preferential transfers to state agencies is not barred by sovereign immunity. Pursuant to the Bankruptcy Clause, Congress may, at its option, either treat states in the same way as other creditors insofar as concerns ""Laws on the subject of Bankruptcies"" or exempt them from operation of such laws."
Will v. Hallock, 04-1332|04-1332|A refusal to apply the Federal Tort Claims Act's judgment bar is not open to collateral appeal.
Rice v. Collins, 04-52|04-52|Grant of habeas corpus relief from a state conviction for possession of cocaine with intent to distribute pursuant to defendant's Batson challenge is reversed where the circuit court improperly substituted its evaluation of the record for that of the state trial court.
Ayotte v. Planned Parenthood of N. New England, 04-1144|04-1144|A permanent injunction on enforcement of an abortion law requiring written parental notification prior to performance of an abortion on a pregnant minor is vacated and remanded for reconsideration of a more narrow remedy.
Gonzales v. Oregon, 04-623|04-623|The Controlled Substances Act does not allow the Attorney General to prohibit doctors from prescribing regulated drugs for use in physician-assisted suicide under state law permitting the procedure.
Wachovia Bank, Nat'l Ass'n v. Schmidt, 04-1186|04-1186|For purposes of federal-court diversity jurisdiction under 28 U.S.C. section 1348, a national bank is a citizen of the state in which its main office, as set forth in its articles of association, is located.
Wachovia Bank, Nat'l Ass'n v. Schmidt, 04-1186|04-1186|For purposes of federal-court diversity jurisdiction under 28 U.S.C. section 1348, a national bank is a citizen of the state in which its main office, as set forth in its articles of association, is located.
Brown v. Sanders, 04-980|04-980|With regards to the imposition of a death sentence, an invalidated sentencing factor, whether an eligibility factor or not, will render a sentence unconstitutional by reason of its adding an improper element to the aggravation scale in the weighing process, unless one of the other sentencing factors enables the sentencer to give aggravating weight to the same facts and circumstances.
US v. Georgia, 04-1203, 04-1236|04-1236|Insofar as Title II of the American with Disabilities Act creates a private cause of action for damages against states for conduct that actually violates the Fourteenth Amendment, Title II validly abrogates state sovereign immunity.
Evans v. Chavis, 04-721|04-721|Determination that a California prisoner's request for federal appellate review, made three years after a lower state court ruled against him was timely under the Antiterrorism and Effective Death Penalty Act (AEDPA), is reversed where the circuit court departed from the Supreme Court's interpretation of the AEDPA as applied to California's system in Carey v. Saffold, 536 U. S. 214 (2002).
Volvo Trucks N. Am., Inc. v. Reeder-Simco GMC, Inc., 04-905|04-905|A manufacturer may not be held liable for secondary-line price discrimination under the Robinson-Patman Price Discrimination Act in the absence of a showing that the manufacturer discriminated between dealers competing to resell its product to the same retail customer.
Texaco v. Dagher, 04-805|04-805|It is not per se illegal under section 1 of the Sherman Act, 15 U.S.C. section 1, for a lawful, economically integrated joint venture to set the prices at which it sells its products.
Scheidler v. Nat'l Org. for Women, Inc., 04-1244|04-1244|Physical violence unrelated to robbery or extortion falls outside the scope of the Hobbs Act. A judgment for respondents, a nonprofit organization supporting the availability of abortions and clinics that perform abortions, is reversed in a case brought under the Hobbs Act, RICO, and other extortion-related laws against individuals and organizations opposing legal abortion.
Dolan v. US Postal Serv., 04-848|04-848|Dismissal of plaintiff's Federal Tort Claims Act (FTCA) suit against the postal service for personal injuries suffered when she tripped and fell over mail left on her porch by postal employees is reversed where a statutory postal exception to the FTCA's waiver of sovereign immunity does not apply.
Arbaugh v. Y & H Corp., 04-944|04-944|The threshold number of employees for application of Title VII to an employer is an element of a plaintiff's claim for relief, not a jurisdictional issue.
Oregon v. Guzek, 04-928|04-928|The Constitution does not prohibit a state from limiting the innocence-related evidence a capital defendant can introduce at a sentencing proceeding to the evidence introduced at the original trial.
Domino's Pizza, Inc. v. MacDonald, 04-593|04-593|"A plaintiff cannot state a claim under 42 U.S.C. section 1981 unless he has or would have rights under the existing or proposed contract that he wishes ""to make and enforce."" Section 1981 plaintiffs must identify injuries flowing from a racially motivated breach of their own contractual relationship, not of someone else's."
Gonzales v. O Centro Espirita Beneficente Uniao do Vegetal, 04-1084|04-1084|Grant of a preliminary injunction under the Religious Freedom Restoration Act in favor of plaintiff, a church, against the government involving the church's use for communion of a tea containing a hallucinogen regulated by the Controlled Substances Act, is affirmed where there was no error in a determination that the government failed to demonstrate, at the preliminary injunction stage, a compelling interest in barring the church's sacramental use of the tea.
Buckeye Check Cashing, Inc. v. Cardegna, 04-1264|04-1264|With regards to contracts containing an arbitration clause, a challenge to the validity of a contract as a whole and not specifically to an arbitration clause within, must go to an arbitrator, not a court, regardless of whether it is brought in federal or state court.
Ministry of Def. & Support for the Armed Forces of the Islamic Republic of Iran v. Elahi, 04-1095|04-1095|"Judgment involving a private citizen's attempt to attach an asset belonging to Iran's Ministry of Defense in order to help satisfy a judgment for money damages is vacated where the court of appeals erred in applying an ""engaged in commercial activity"" exception to the Foreign Sovereign Immunities Act."
Ash v. Tyson Foods, Inc., 05-379|05-379|A judgment in an employment racial discrimination suit is vacated where the court of appeals erred in: 1) holding that modifiers or qualifications are necessary in all instances to render a disputed term probative of bias; and 2) in articulating a standard for determining whether the asserted nondiscriminatory reasons for defendant's hiring decisions were pretextual.
Lance v. Dennis, 05-555|05-555|Dismissal of citizen plaintiffs' suit involving Colorado's congressional redistricting pursuant to the Rooker-Feldman doctrine is vacated where plaintiffs were not parties to the underlying state-court proceedings, and the Rooker-Feldman doctrine did not bar plaintiffs' action simply because, for purposes of preclusion law, they could be considered in privity with a party to the judgment.
Georgia v. Randolph, 04-1067|04-1067|A warrantless search of a shared dwelling for evidence over the express refusal of consent by a physically present resident cannot be justified as reasonable as to him on the basis of consent given to the police by another resident.
Merrill Lynch, Pierce, Fenner & Smith, Inc. v. Dabit, 04-1371|04-1371|A judgment vacating dismissal of a private securities fraud class action is reversed where the background, text, and purpose of the Securities Litigation Uniform Standards Act's (SLUSA) pre-emption provision demonstrated that SLUSA pre-empts state-law holder class-action claims of the kind plaintiff alleged.
US v. Grubbs, 04-1414|04-1414|Anticipatory warrants are not categorically unconstitutional under the Fourth Amendment. Reversal of a district court's denial of a motion to suppress evidence in a child pornography prosecution is reversed where the anticipatory warrant at issue did not violate the Fourth Amendment-s particularity requirement.
Rumsfeld v. Forum for Academic & Institutional Rights, Inc., 04-1152|04-1152|Because Congress could require law schools to provide equal access to military recruiters without violating the schools' freedoms of speech or association, the Third Circuit Court of Appeals erred in holding that the Solomon Amendment likely violates the First Amendment.
Illinois Tool Works Inc. v. Indep. Ink, Inc., 04-1329|04-1329|"In the context of antitrust claims, since a patent does not necessarily confer market power upon a patentee, in all cases involving a ""tying"" arrangement, a plaintiff must prove that the defendant has market power in the tying product."
Jones v. Flowers, 04-1477|04-1477|For purposes of due process, when mailed notice of a tax sale is returned unclaimed, a state must take additional reasonable steps to attempt to provide notice to the property owner before selling his/her property, if it is practicable to do so.
Hartman v. Moore, 04-1495|04-1495|A plaintiff in a retaliatory-prosecution action must plead and show the absence of probable cause for pressing the underlying criminal charges.
N. Ins. Co. of New York, 04-1618|04-1618|"An entity that does not qualify as an ""arm of the State"" for Eleventh Amendment purposes cannot assert sovereign immunity as a defense to an admiralty suit."
Day v. McDonough, 04-1324|04-1324|Dismissal of a habeas petition as untimely under the Antiterrorism and Effective Death Penalty Act's (AEDPA) one-year limitation is affirmed where, under the circumstances at hand a district court had discretion to correct the state's erroneous computation sua sponte when it confronted no intelligent waiver on the state's part and only an evident miscalculation of time.
Day v. McDonough, 04-1324|04-1324|Dismissal of a habeas petition as untimely under the Antiterrorism and Effective Death Penalty Act's (AEDPA) one-year limitation is affirmed where, under the circumstances at hand a district court had discretion to correct the state's erroneous computation sua sponte when it confronted no intelligent waiver on the state's part and only an evident miscalculation of time.
Day v. McDonough, 04-1324|04-1324|Dismissal of a habeas petition as untimely under the Antiterrorism and Effective Death Penalty Act's (AEDPA) one-year limitation is affirmed where, under the circumstances at hand a district court had discretion to correct the state's erroneous computation sua sponte when it confronted no intelligent waiver on the state's part and only an evident miscalculation of time.
Salinas v. United States, 05-8400|05-8400|"Judgment of the Fifth Circuit is vacated and remanded where the court erred in treating a prior conviction for simple possession as a ""controlled substance offense"" for sentencing guideline purposes, since that term requires elements other than simple possession."
Gonzales v. Thomas, 05-552|05-552|"A judgment in an asylum case holding that a particular family fell within the scope of the statutory term ""particular social group"" and was persecuted on that basis is vacated where the ""ordinary 'remand' rule"" should have been applied since an agency had not yet considered whether the family presented the kind of ""kinship ties"" that constitute a ""particular social group."""
Garcetti v. Ceballos, 04-473|04-473|When public employees make statements pursuant to their official duties, they are not speaking as citizens for First Amendment purposes, and the Constitution does not insulate their communications from employer discipline.
Brigham City v. Stuart, 05-502|05-502|Police may enter a home without a warrant when they have an objectively reasonable basis for believing that an occupant is seriously injured or imminently threatened with such injury.
DaimlerChrysler Corp. v. Cuno, 04-1704|04-1704|In a suit brought by taxpayers alleging that their local and state tax burdens were increased by certain taxbreaks for a car manufacturer, a judgment finding that a state tax credit violated the Commerce Clause is vacated where plaintiffs had no standing to challenge the state franchise tax credit.
eBay Inc. v. MercExchange, L.L.C., 05-130|05-130|The traditional four-factor test applied by courts of equity when considering whether to award permanent injunctive relief to a prevailing plaintiff applies to disputes arising under the Patent Act. A judgment reversing the denial of a motion for permanent injunctive relief in a patent infringement case against eBay is vacated where neither court below correctly applied the traditional four-factor framework that governs an award of injunctive relief.
Sereboff v. Mid Atlantic Med. Servs., Inc., 05-260|05-260|"Judgment in favor of a health insurance plan administrator in its suit brought under ERISA seeking to collect medical expenses it had paid on defendants' behalf from a tort recovery they subsequently received is affirmed where, under the circumstances, section 502(a)(3) of ERISA authorized recovery as the relief requested by the administrator was ""equitable"" under the provision."
S.D. Warren Co. v. Maine Bd. of Envtl. Prot., 04-1527|04-1527|Operating a dam to produce hydroelectricity raises a potential for a discharge into the navigable waters of the United States. Thus, hydroelectric dams require state certification that water protection laws will not be violated for purposes of federal licensing under section 401 of the Clean Water Act.
Arkansas Dep't of Health & Human Servs. v. Ahlborn, 04-1506|04-1506|Federal Medicaid law does not authorize a state's department of health services to assert a lien on a settlement in an amount exceeding the portion of the tort claimant's settlement constituting reimbursement for medical payments made, and a federal anti-lien provision affirmatively prohibits it from doing so. State third-party liability provisions are unenforceable insofar as they compel a different conclusion.
Marshall v. Marshall, 04-1544|04-1544|A determination by the Ninth Circuit Court of Appeals that the probate exception applied so as to bar petitioner-Anna Nicole Smith's tortious interference claim is reversed where the Ninth Circuit had no warrant from Congress, or from decisions of the Supreme Court, for its sweeping extension of the probate exception.
Holmes v. South Carolina, 04-1327|04-1327|A criminal defendant's federal constitutional rights are violated by an evidence rule under which the defendant may not introduce evidence of third-party guilt if the prosecution has introduced forensic evidence that, if believed, strongly supports a guilty verdict.
Clark v. Arizona, 05-5966|05-5966|Due process does not prohibit Arizona's use of an insanity test stated solely in terms of the capacity to tell whether an act charged as a crime was right or wrong. Further, Arizona does not violate due process in restricting consideration of defense evidence of mental illness and incapacity to its bearing on a claim of insanity, thus eliminating its significance directly on the issue of the mental element of the crime charged.
Hamdan v. Rumsfeld, 05-184|05-184|In a challenge brought by a Guantanamo detainee, a judgment of a court of appeals reversing an earlier grant of habeas relief is reversed where the military commission convened to try petitioner lacks the power to proceed because its structure and procedures violate both the Uniform Code of Military Justice (UCMJ) and the Geneva Conventions.
Sanchez-LLamas v. Oregon, 04-10566, 05-51|05-51|In the context of detained foreign nationals, even assuming that the Vienna Convention on Consular Relations creates judicially enforceable rights, suppression is not an appropriate remedy for a violation of Article 36 of the Convention, and a state may apply its regular rules of procedural default to Article 36 claims.
League of United Latin Am. Citizens v. Perry, 05-204|05-204|In the context of challenges to Texas' new congressional districting map, Texas' redrawing of a district's lines amounted to vote dilution violative of Section 2 of the Voting Rights Act of 1965.
Beard v. Banks, 04-1739|04-1739|A circuit court judgment holding that a prison policy, forbidding certain inmates any access to newspapers, magazines, and photographs violated the First Amendment, could not be supported as a matter of law is reversed and the case is remanded.
US v. Gonzalez-Lopez, 05-352|05-352|A trial court's erroneous deprivation of a criminal defendant's choice of counsel is not subject to harmless-error analysis and entitles the defendant to reversal of his conviction.
Randall v. Sorrell, 04-1528, 04-1530, 04-1697|04-1697|A decision by a court of appeals holding that a Vermont campaign finance statute's contribution limits were constitutional and that its expenditure limits may be constitutional is reversed and the matter remanded for further proceedings.
Arlington Cent. Sch. Dist. Bd. of Educ. v. Murphy, 05-18|05-18|"An Individuals with Disabilities Education Act (IDEA) provision that permits a court to ""award reasonable attorneys' fees as part of the costs"" to prevailing parents, does not authorize prevailing parents to recover expert fees."
Washington v. Recuenco, 05-83|05-83|In the context of criminal sentencing, failure to submit a sentencing factor to the jury is not structural error.
Kansas v. Marsh, 04-1170|04-1170|Kansas' capital sentencing statute, which requires the imposition of the death penalty when the sentencing jury determines that aggravating evidence and mitigating evidence are in equipoise, is constitutional.
Dixon v. US, 05-7053|05-7053|A conviction for receiving a firearm while under indictment and making false statements in connection with the acquisition of a firearm is affirmed over a claim that a trial judge's instructions to the jury erroneously required her to prove duress by a preponderance of the evidence instead of requiring the government to prove beyond a reasonable doubt that she did not act under duress.
Woodford v. Ngo, 05-416|05-416|The Prison Litigation Reform Act's (PLRA) exhaustion requirement requires proper exhaustion of administrative remedies.
Lab. Corp. of Am. Holdings v. Metabolite Labs., Inc., 04-607|04-607|A writ of certiorari is dismissed as improvidently granted.
Burlington N. & Santa Fe Railway Co. v. White, 05-259|05-259|The anti-retaliation provision of Title VII of the Civil Rights Act does not confine the actions and harms it forbids to those that are related to employment or occur at the workplace. The provision covers those, and only those, employer actions that would have been materially adverse to a reasonable employee or job applicant.
Fernandez-Vargas v. Gonzales, 04-1376|04-1376|In the context of reinstatement of orders of removal on illegal entrants, Immigration and Nationality Act section 241(a)(5) applies to those who reentered the U.S. before the Illegal Immigration Reform and Immigrant Responsibility Act's (IIRIRA) effective date and does not retroactively affect any right of, or impose any burden on, the violator of the INA before the Court.
Rapanos v. US, 04-1034|04-1034|In cases involving certain state wetlands lying near ditches or man-made drains that eventually empty into traditional navigable waters, judgments against petitioners-landowners are vacated and remanded for further proceedings as to whether the specific wetlands at issue possessed a significant nexus with navigable waters for purposes of regulation under the Clean Water Act (CWA).
Davis v. Washington, 05-5224, 05-5705|05-5705|In the context of determining whether statements are testimonial for hearsay purposes, statements are nontestimonial when made in the course of police interrogation under circumstances objectively indicating that the primary purpose of the interrogation is to enable police assistance to meet an ongoing emergency. They are testimonial when the circumstances objectively indicate that there is no such ongoing emergency, and that the primary purpose of the interrogation is to establish or prove past events potentially relevant to later criminal prosecution.
Youngblood v. W. Virginia, 05-6997|05-6997|In a sexual assault case, a petition for certiorari is granted and a judgment of a state supreme court affirming a denial of a new trial for defendant is vacated and remanded for further procedings where defendant had clearly presented a federal constitutional Brady claim to the state supreme court.
Samson v. California, 04-9728|04-9728|The Fourth Amendment does not prohibit a police officer from conducting a suspicionless search of a parolee.
Hudson v. Michigan, 04-1360|04-1360|"Petitioner's conviction for drug possession is affirmed over his claim that evidence seized following police's premature entry of his home should have been suppressed since a violation of the ""knock-and-announce"" rule does not require suppression of evidence found in a search."
Kircher v. Putnam Funds Trust, 05-409|05-409|The Securities Litigation Uniform Standards Act of 1998 does not exempt remand orders from 28 U.S.C. section 1447(d) and its general rule of non-appealability.
Howard Delivery Serv., Inc. v. Zurich Am. Ins. Co., 05-128|05-128|"In the context of bankruptcy law, premiums owed by an employer to a workers' compensation carrier do not fit within 11 U.S.C. section 507(a)(5), which accords priorities, among unsecured creditors' claims, for unpaid contributions to ""an employee benefit plan."""
Empire Healthchoice Assurance, Inc. v. McVeigh, 05-200|05-200|"Dismissal, for want of subject-matter jurisdiction, of petitioner-carrier's suit seeking recovery from the proceeds of state-court litigation for a beneficiary's medical care is affirmed since 28 U.S.C. section 1331, authorizing jurisdiction over ""civil actions arising under the...laws...of the United States,"" did not encompass the carrier's action."
Hill v. McDonough, 05-8794|05-8794|Dismissal of petitioner's challenge to the constitutionality of a three-drug sequence the state of Florida likely would use to execute him by lethal injection is reversed as his claim did not have to be brought as an action for a writ of habeas corpus, but instead could proceed as an action for relief under 42 U.S.C. section 1983 in accordance with Nelson v. Campbell.
